Id;Classe;BreedId;Nom;gfxId;StatsPlates;EffetsScripts;EffetsEtats;EffetsConditionnels;DescEN
7335;OSAMODAS;2;Force-Taure;7335;;oui;non;non;The Osamodas and their summons inflict more single-target damage at the expense of their Dodge.
7336;OSAMODAS;2;Synergie animale;7336;;oui;non;non;The Osamodas sacrifices some of their power and transfers it to their summons. When a summons kills an enemy, the Osamodas regenerates WP.
7337;OSAMODAS;2;Symbiose;7337;;non;oui;non;The Osamodas gains a melee-combat damage bonus in exchange for some of their resistances when their summons returns to the Gobgob.
7338;OSAMODAS;2;Puissance draconique;7333;;non;non;non;The Osamodas becomes more powerful in dragon form but has more difficulty regenerating WP.
7339;OSAMODAS;2;Étoile du Sud;7339;;oui;non;non;The Gobgob's auras apply an effect on fighters while they are in the aura.
7340;OSAMODAS;2;Sacrifice animal;7340;{"WAKFU_POINT":3};non;non;non;The Osamodas gains max WP but loses flexibility in managing their summons.
7341;OSAMODAS;2;Étoile de l'Est;7341;;non;non;non;The Gobgob's auras can be applied on the Osamodas but last for less time.
7342;OSAMODAS;2;Dévouement animal;7342;;oui;oui;oui;The Osamodas gains support abilities in exchange for some of their damage.
7343;OSAMODAS;2;Art du dressage;7343;;non;non;non;Two creatures from the Gobgob can be summoned on the field at the same time. In exchange, damage they suffer is transferred to the Osamodas. You cannot summon the same creature twice on the field, but two Osamodas can each summon a different creature.
7344;OSAMODAS;2;Partage animal;7344;;non;oui;oui;The Osamodas sacrifices some of their resistances and gives them to their summons. When the Osamodas is attacked, their summons gain bonuses.
2009;ENUTROF;3;Géologie avancée;2028;;non;non;non;The Excavation spell's range is no longer modifiable. In exchange, when the Enutrof moves a Mine, they recover 1 AP if they are in normal form and heal themself if they are in Drhellzerker form.
2028;ENUTROF;3;Art des marcheurs;7093;;non;non;non;The Enutrof uses their MP instead of their AP to move their Mines.
2039;ENUTROF;3;Bénédiction Enutrof;2039;;non;oui;oui;The Enutrof gains 1 Treasures at start of turn, but can only accumulate up to a maximum of 2 instead of 3.
5059;ENUTROF;3;Placements boursiers;5059;;non;non;non;Purses apply their effects 1 turn after being picked up. They can stack up to 6 levels in this way.
5071;ENUTROF;3;Cupidité;5071;;non;non;non;The Enutrof can no longer pick up Purses by walking on them, but collects them directly with the Excavation spell.
5075;ENUTROF;3;Phorzertanker;5075;;non;non;non;The Enutrof exchanges the offensive bonuses of their Drhellzerker form for defensive bonuses.
5076;ENUTROF;3;Côté en bourse;5076;;non;non;non;Purses summoned by the Enutrof instantly appear as Fat Pouches. However, they can be picked up by enemies.
6326;ENUTROF;3;Intérêts créditeurs;6326;;non;non;non;With this passive, the Enutrof acquires Treasures from the targets they've left broke. In exchange, the Enutrof can't put them in debt as often.
8272;ENUTROF;3;Échange asynchrone;4300;;non;non;non;The Enutrof copies their distance mastery to melee mastery by switching to Drhellzerker mode. Their elemental spells in Drhellzerker mode lose 2 max Range.
8273;ENUTROF;3;Marchepied;7596;;non;non;non;In Drhellzerker mode, the first dodge of the turn is always 100% guaranteed. In exchange, the Enutrof's Dodge is reduced to 0 at the start of the fight.
8274;ENUTROF;3;Marchand d'âge;5126;;non;non;non;In Drhellzerker mode, the Enutrof's neutral spells are also limited in Range, but they cost 1 MP less.
8275;ENUTROF;3;La binocle;7330;;non;non;non;When the Enutrof is in Drhellzerker mode, Treasures no longer gives them WP at end of turn, but their elemental spells have a Range bonus.
8276;ENUTROF;3;Assurance tous risques;845;;non;non;non;The Enutrof consumes their Treasures at end of turn to gain Armor.
8277;ENUTROF;3;Protection minérale;2009;;non;oui;oui;If the Enutrof finishes their turn on a Mine, they destroy it to gain elemental resistances for 1 turn. The destroyed Mine cannot be dug up for 1 full turn.
8278;ENUTROF;3;Optimisation focale;1420;;non;non;non;The Excavation spell has greater maximum range, but also greater minimum range, preventing the Enutrof from manipulating their Mines at very short range.
8279;ENUTROF;3;Tunnelier;7184;;non;non;non;The Drheller has less MP, but when it digs up a Mine, it teleports onto it.
8280;ENUTROF;3;Héritage;727;;non;non;non;The Drheller gains AP and MP based on the level of Treasures that the Enutrof has at end of turn. In exchange, the Drheller dies if it ends its turn in melee range of an enemy.
4606;SRAM;4;Assaut Brutal;2440;;oui;non;non;The Sram's costly spells do more damage but no longer generate Weak Point. The Execution and Trauma spells are no longer affected by this passive's effects.
4607;SRAM;4;Passe-passe;5103;;non;non;non;When summoning the Double, the Sram switches places with it, before switching places with it again at the end of their turn.
4608;SRAM;4;Assassin;2439;;oui;non;non;The Sram no longer gains Weak Point upon killing an enemy but immediately regains 1 AP, 1 MP, 1 WP, and 20% of max HP instead.
4609;SRAM;4;Piège de Répulsion II;7191;;non;non;non;The repulsion trap works differently. When triggered, the trap becomes single-target and pushes the target in the direction it is facing.
4610;SRAM;4;Hémophilie;5123;;non;non;non;At the end of their turn, the Sram transforms their enemies' Hemorrhage into start-of-turn poison. This poison still inflicts melee damage.
5122;SRAM;4;Embuscade;588;;non;non;non;The Sram's traps no longer give the Sram AP back when triggered but inflict damage on enemies. The Sram regains 1 WP when their traps are triggered.
5124;SRAM;4;Retenue;5124;;non;non;non;The Sram loses their invisibility when inflicting direct damage only when using a spell costing 4 AP or more. This means they can use smaller spells before revealing themself. In exchange, they can no longer turn an ally invisible.
5126;SRAM;4;Duperie;5126;;oui;non;non;The Sram switches places with their Double after receiving direct damage.
8503;SRAM;4;;6999;;non;non;non;
8504;SRAM;4;;4609;;non;non;non;
8508;SRAM;4;;5122;;non;oui;non;
8510;SRAM;4;;2437;;non;non;non;
8511;SRAM;4;;2441;;non;non;non;
8512;SRAM;4;;2118;;non;non;non;
8513;SRAM;4;;2438;;oui;non;non;
756;XELOR;5;Mémoire;756;{"WAKFU_POINT":6};non;non;non;Gains a large amount of WP while losing mobility through an MP restriction.
758;XELOR;5;Maître du cadran;758;;non;non;non;Delayed effects (those with Sinistro, Sandglass, Against the Clock, etc.) are also triggered when the current hour goes around the dial.
761;XELOR;5;Horlogerie;761;;oui;oui;oui;The Xelor is teleported to the current hour on their Dial at the start of each turn. If the current hour cell is occupied by an obstacle, the Xelor switches places with the obstacle.
764;XELOR;5;Taque, Tique;764;;non;oui;non;Increases the damage inflicted during even turns, and reduces it during odd turns. In order to make full use of this passive's potential, the Xelor can keep resources from one turn to the next to use them at the right time.
785;XELOR;5;Cours du temps;785;;oui;non;oui;Transpositions caused by the Xelor's spells or passives make the Xelor regain 1 AP or 1 WP.
5351;XELOR;5;Présage;5351;;non;non;non;The Xelor regains WP when they reduce an enemy's AP. However, the Xelor no longer regains WP based on their remaining AP at the end of the turn.
5352;XELOR;5;Promptitude;5352;;non;non;non;Depending on the current hour's position when the dial is summoned, the Xelor's elemental spells are cast without line of sight, meaning they can target through obstacles. However, these spells can only be cast in a straight line.
5353;XELOR;5;Tique, Taque;5353;;non;oui;non;Reduces Force of Will on even turns and increases it on odd turns. In order to make full use of this passive's potential, the Xelor can keep resources from one turn to the next to use them at the right time.
7184;XELOR;5;Contre-horaire;7184;;non;oui;non;Every other turn, the current hour goes the other way.
7185;XELOR;5;Déjà vu;7185;;oui;non;non;Depending on the current hour's position when the dial is summoned, the Xelor's damage is reduced but regenerates the Xelor's health.
7186;XELOR;5;Connaissance du passé;7186;;non;non;non;The dial costs more to summon. However, when the current hour goes all the way around the dial, the Xelor regains AP and WP.
7187;XELOR;5;Présages violents;7187;;oui;oui;non;The current hour inflicts high damage on any fighter starting their turn on it.
7188;XELOR;5;Dimension sombre;7188;;non;non;non;The current hour gives a Force of Will bonus, improving the Xelor's ability to remove AP. However, the Xelor's AP removals can now only happen from the current hour or if they have Punctuality.
7189;XELOR;5;Ralentissement du temps;7189;;non;non;non;The Dial spreads its hour cells over a 6-cell ring rather than a 3-cell ring. Each hour cell is 4 cells from the next, unlike the Dial's standard layout (2 cells).
7190;XELOR;5;Rémanence;7190;;non;non;non;The Xelor's summons (Dial, Sinistro, Cog, Regulator) can no longer block line of sight enemy and ally spells can go through them.
7191;XELOR;5;Mécanismes spécialisés;7191;;oui;non;non;The Xelor's summons (Dial, Sinistro, Cog and Regulator) gain an ability: When one is summoned, the Xelor immediately switches places with it (within a maximum Range of 6 cells).
7192;XELOR;5;Permutation momentanée;7192;;oui;oui;oui;The Dial, which is Stabilized, can be repositioned anywhere on the field with this passive. The Xelor switches places with their Dial at the end of every turn.
7193;XELOR;5;Mage de combat;7193;;oui;oui;non;AP removals in melee combat (within 2 cells or less of the Xelor) are replaced with a damage penalty on the target.
7195;XELOR;5;Flétrissement;7195;;oui;oui;non;AP removals from a distance (3 or more cells from the Xelor) are replaced by application of indirect damage on the target.
7196;XELOR;5;Assimilation;7196;;non;non;non;Lowers the Xelor's WP gauge, but gives them greater WP regeneration capacity.
2059;ECAFLIP;6;Tarot veinard;5456;;non;non;non;Tarot cards increase the Ecaflip's Lucky Day and give them a boost to critical hit rate based on the cards' numerical value.
2062;ECAFLIP;6;Pucif;7931;;oui;non;non;This passive reduces elemental healing done by the Ecaflip. In exchange, each elemental heal is replicated at the end of the target's turn before being transferred to the nearest ally.
2068;ECAFLIP;6;La Mésaventure;2068;;non;non;non;Unlocks an extra tarot card (added to the draw pile). This card reduces the target's mobility and damage but increases their resistance for one turn.
2076;ECAFLIP;6;En veine;5246;;non;non;non;Each Critical Hit point given by the Ecaflip (to themself or someone else) increases their Lucky Day by 1. However, when Critical Hit is given, it only lasts one turn.
2080;ECAFLIP;6;L'Infortune;2080;;oui;non;non;Unlocks an extra tarot card (added to the draw pile). This tarot card converts the target's Critical Hit into Block, at a rate of one to one, for one turn.
5246;ECAFLIP;6;Tarot divinatoire;4959;;oui;oui;non;The Ecaflip earns bonuses by playing cards in pairs of the same color. However, Roll Again costs more.
5249;ECAFLIP;6;Impact félin;5249;;non;non;non;This passive changes how the number of uses of Feline Leap is generated. Ending a turn adjacent to an enemy gives the spell two extra uses.
5250;ECAFLIP;6;Le Destin d'Ecaflip;5250;;non;non;non;Unlocks an extra tarot card (added to the draw pile). This tarot card inflicts serious damage on the target. However, if the target is still alive the next turn, the Ecaflip takes the same damage.
5251;ECAFLIP;6;Triche;852;;non;oui;non;This passive allows the Ecaflip to play the first card of their turn for free. However, unless they use Roll Again, the Ecaflip can only draw a single card.
7954;ECAFLIP;6;Veine soigneuse;5463;;oui;oui;non;With this passive, Lucky Day increases healing done by the Ecaflip. However, Lucky Day only lasts one turn, no matter how it's generated.
7955;ECAFLIP;6;Tarot félin;7928;;oui;non;non;When the Ecaflip uses a tarot card on a fighter, they switch places with them. However, the Ecaflip will be stabilized until their turn ends.
7956;ECAFLIP;6;La fortune sourit aux audacieux;5466;;non;oui;non;With this passive activated, the Ecaflip will regenerate Wakfu points when badly injured.
7957;ECAFLIP;6;Pile, je gagne;5251;;oui;non;non;This passive boosts the Ecaflip's natural resistance and survival abilities. They regenerate and gain resistance bonuses when they play a card with 100 Lucky Day. In exchange, the Ecaflip loses all their dodge.
7958;ECAFLIP;6;Dés généreux;7935;;non;non;non;This passive transforms Lucky Star, applied when the Ecaflip goes over 100 Critical Hit. Instead of boosting damage, Lucky Star now boosts healing.
7959;ECAFLIP;6;Félin suprême;2059;;non;non;non;This passive changes the Feline Leap spell. It can be cast without line of sight, but it costs more.
7960;ECAFLIP;6;Black Jack;5101;;oui;oui;non;Cards in the Ecaflip's hand are added up at the start of the turn. If their total value is equal to or less than 20, the Ecaflip gains Armor. If their value is over 20, the Ecaflip gets a penalty to final Armor received for 1 turn.
7961;ECAFLIP;6;Atouts périodiques;5461;;non;non;non;This passive allows for some control over cards. On odd turns, the Ecaflip can only draw and play odd-numbered tarot cards, and on even turns, they can only draw and play even-numbered tarot cards.
7999;ECAFLIP;6;Sept fétiche;866;;non;oui;non;Every six tarot cards played with their normal effect (not doubled by Lucky Day), the Ecaflip maximizes their Lucky Day and empties their draw pile.
8000;ECAFLIP;6;L'Univers;8000;;non;non;non;Cuts Lucky Day gains in half. Unlocks the Universe card when the Ecaflip reaches exactly 42 Lucky Day (the card is not in the draw pile).
8001;ECAFLIP;6;Veine des cartes;2062;;oui;oui;oui;This passive grants control over Lucky Day based on the cards still in the Ecaflip's hand at the end of their turn.
628;ENIRIPSA;7;Médecin sans barrière;628;;non;non;non;Changes how Propagator works: Performing heals no longer increases it, but inflicting damage does. Propagator is consumed on a single-target heal, and improves the healing performed.
644;ENIRIPSA;7;Marquage précis;567;;oui;oui;non;Only one mark of a given type can be active at a time. When this mark is consumed or triggered, the Eniripsa gains 10% of their level in Propagator points.
1415;ENIRIPSA;7;Soin unique;1415;;oui;non;non;Each turn, the first single-target healing spell cast by the Eniripsa is more powerful. In exchange, after the improved healing spell, any additional healing spells cast by the Eniripsa during their turn have reduced effects.
1536;ENIRIPSA;7;Paroxysme vital;646;;oui;non;non;This passive increases the Eniripsa's heals received, but changes the ability activation threshold to require a certain amount of HP.
1537;ENIRIPSA;7;Serial marqueur;1537;;oui;non;non;Each mark placed on a target heals the fighters around that target. In exchange, Fire spells become harder to cast.
5451;ENIRIPSA;7;Délai;5451;;oui;oui;non;This passive delays half of the healing that the Eniripsa performs on their targets.
5453;ENIRIPSA;7;Tous pour moi;5453;;oui;oui;non;The Eniripsa's HP increase significantly. In exchange, the Coney spell can only be cast on adjacent targets.
5454;ENIRIPSA;7;Ponction;5454;;oui;non;non;When the Eniripsa has 80% or more of their maximum HP, their heals performed are increased. However, they also take damage equivalent to 10% of the healing they perform.
5455;ENIRIPSA;7;Nature morte;1420;;non;non;non;When the Coney dies, a glyph appears on its position. In exchange, the Coney is more expensive.
5463;ENIRIPSA;7;Vampiripsa;5463;;non;non;non;This passive changes how Propagator works. Damage inflicted is lower, but the Eniripsa absorbs half of the damage inflicted via Propagator.
7987;ENIRIPSA;7;Radiance;7987;;non;non;non;When the Eniripsa ends their turn, they consume their Propagator to heal themself and their nearby allies.
7990;ENIRIPSA;7;Présence;7330;;oui;oui;non;At end of turn, if the Eniripsa is isolated, they gain mobility for the next turn, but lose their Propagator. Conversely, if there are one or more fighters near the Eniripsa, the Eniripsa gains Propagator, but loses Range on the next turn.
7991;ENIRIPSA;7;Super Lapino II;7344;;non;non;non;The Eniripsa now immediately summons the Super Coney, instead of waiting a turn. In exchange, the Coney spell now has a two-turn cooldown, and the Super Coney dies at the end of its turn.
7992;ENIRIPSA;7;Transgression;5245;;non;non;non;This passive increases the Eniripsa's resistance potential when under the effects of Unnatural Remedies. In exchange, their range decreases while in this mode.
7993;ENIRIPSA;7;Elixir de vent;959;;oui;non;non;This passive increases the Eniripsa's Dodge when they accumulate Propagator. In addition, consuming Propagator on a target removes Lock from it. However, the Eniripsa's Lock drops to 0.
7994;ENIRIPSA;7;Apprenti alchimiste;2040;;non;non;non;When Propagator is triggered, the Eniripsa steals 1 MP from the target. In exchange, the Eniripsa's generation of Propagator is cut in half.
7995;ENIRIPSA;7;Secret de fabrication;877;;non;non;non;Propagator now applies its effects for a longer time: it lasts two turns.
7996;ENIRIPSA;7;Marque anbareul;5101;;non;non;non;Repulsion immediately triggers marks, but does not push the marked targets.
7997;ENIRIPSA;7;Paradoxe Contre-naturel;5055;;non;non;non;Heals performed in normal mode increase the Propagator level twice as much, but in exchange, heals performed with Unnatural Remedies no longer increase the Propagator level.
7998;ENIRIPSA;7;Ambivalence;525;;non;non;non;Unnatural Remedies can now be cast on a target other than the Eniripsa, triggering different effects.
4795;IOP;8;Virilité;525;;non;oui;oui;The Iop has more health points, but they can no longer use the Jump spell without line of sight (behind obstacles).
4796;IOP;8;Compulsion;521;;oui;oui;non;The Iop gains a level of Wrath at the start of each turn. However, they lose Wrath at the end of each turn.
4797;IOP;8;Autorité;523;;oui;non;non;The Iop gains the ability to attract or repel targets by attacking them from the front or from behind.
4798;IOP;8;Duelliste;522;;non;oui;non;If the Iop ends their turn facing an enemy, both of them gain a large amount of resistance for 1 turn.
4799;IOP;8;Roi de la Colline;1399;;non;oui;non;The Iop gains a large amount of Lock and Flaming if they end their turn on their standard. However, they lose all their Lock if they don't end it on their standard.
5100;IOP;8;Bravoure;5100;;oui;non;non;The Iop gains Armor at end of turn based on their Power level. However, the Iop has to finish near their enemies at end of turn to gain Power.
5101;IOP;8;Précipitation;5101;;non;non;oui;The Iop gains 1 MP every time they use one of their spells to move, but they also lose resistances for 1 turn.
5102;IOP;8;Ralliement;7186;;non;non;non;When the Iop summons their standard, nearby targets are drawn to the Iop. The Bravery Standard spell loses 1 Range.
5103;IOP;8;Mini-Bond;5103;;non;non;non;The Jump spell can be used multiple times in a turn and costs less AP. However, its range is reduced, and it costs 1 WP.
5104;IOP;8;Faille Sismique;5104;;non;non;non;Gutting Gust removes Dodge and gives Lock to the target and the Iop.
8413;IOP;8;Destin;6997;;non;non;non;The standard's aura no longer gives resistance it becomes a redirection aura: Allies within the aura will redirect some of the damage they suffer to the Iop.
8414;IOP;8;Impétueux;7096;;oui;oui;non;When the Iop uses the Jump spell, its AP cost is refunded. However, the Iop will lose the same amount of AP at the start of their next turn.
8415;IOP;8;Démonstration;5132;;oui;oui;non;The Iop recovers WP and Preparation at end of turn based on the level of the Wrath state. However, they no longer recover WP instantly with Concentration.
8416;IOP;8;Frappe et court;5352;;non;non;non;The Iop instantly recovers MP after using their Wrath. However, the Wrath is only triggered at a minimum of level 2.
8417;IOP;8;Dissipation;7105;;non;non;non;The Gutting Gust and Uppercut spells can be cast at longer range. However, the Iop no longer gains Concentration by performing combos.
8418;IOP;8;Avant-poste;7107;;non;non;non;The Iop can use the Bravery Standard spell without line of sight (through obstacles). However, the Standard is destroyed if the Iop uses it to jump on top of it.
8419;IOP;8;Fortification;5454;;oui;non;non;If the Iop is on their Standard, each successful Block restores some of their HP. Also, if they end on their Standard, half of their Critical Hit is converted to Block until the end of the next turn.
8420;IOP;8;Le Iop de Wazemmes;7111;;oui;non;non;Damage inflicted by the Iop up to a range of 3 cells is considered melee damage. However, they receive less Armor.
8421;IOP;8;Conquête;5102;;oui;oui;oui;When the Iop kills an enemy, they place a conquest glyph on this cell. If the cell is free at end of turn, they summon or move their Standard onto the conquest. If they kill an enemy while a conquest glyph is already present, the new glyph replaces the old one.
8422;IOP;8;Porte-étendard;5131;;non;non;non;The Iop can use the Bravery Standard on themself to deploy the Bravery Aura around them at end of turn. In doing so, they become stabilized, and the aura's area of effect is larger. However, the Bravery Standard is more fragile.
6945;CRA;9;Archer futé;4801;;non;non;non;Each Sharpened Arrowhead that the Cra gains gives them a Luminous Arrow. In exchange, the Luminous Arrow spell will now have non-modifiable range.
6946;CRA;9;Éclaireur spécialisé;1420;;non;non;non;The Evasive state heals the Cra's missing HP. However, the area required to be Evasive becomes larger.
6947;CRA;9;Balises discrètes;615;;non;non;non;Cra Beacons no longer block line of sight. When Beagon is cast, targets aligned with the beacon are pushed back.
6948;CRA;9;Parti pris;5072;;non;non;non;When the Cra obtains their Sharpened Arrowhead, they convert MP into AP if they are in Precision Shot. If they have not cast Precision Shot, they convert AP to MP instead.
6949;CRA;9;Distance focale;7330;;non;non;non;The Cra can naturally cast their elemental spells 2 cells farther. In return, the minimum range of their elemental spells also increases by 2.
6950;CRA;9;Précision vorace;5122;;non;non;non;When the Cra is affected by Precision Shot, their spells that consume Precision steal 25% of the damage inflicted. However, Precision Shot can only be cast once per turn.
6951;CRA;9;La voie de l'arc;5077;;non;oui;oui;When the Cra removes MP from a target, they generate Precision and Sharpening. They no longer gain any at end of turn when Evasive.
6952;CRA;9;Débalisage massif;615;;non;non;non;The Beagon spell immediately destroys all the Cra's beacons to generate Sharpening and Precision.
6953;CRA;9;Étude balistique;620;;non;non;non;Beacons' redirected damage is no longer applied to allies in addition, allies hit by a Beacon gain 1 Range. However, the Cra can now only summon one beacon in each element.
6955;CRA;9;Paradoxe du Crâ;2076;;non;non;non;To be able to acquire the Evasive bonus, the Cra must have at least one enemy within 3 cells or less.
6956;CRA;9;Éclaireur intouchable;588;{"WILLPOWER":20};oui;non;non;The Cra gains Force of Will. In return, their Dodge is reduced to 0 at the start of the fight.
6957;CRA;9;Instinct du chasseur;6930;;oui;non;non;The Cra's single-target spells have different effects on their Beacons. In exchange, their Beacons must be spaced farther apart when placed.
6958;CRA;9;Balisage rapproché;610;;non;non;non;The Cra can remove their Beacons for free. However, the summoning range of the Beacons can no longer be modified.
6959;CRA;9;Tireur solitaire;5073;;non;non;non;The Cra can gain bonuses when Evasive reaches level 40 or higher. However, the state also requires that there be no allies around the Cra.
6960;CRA;9;Esprit affûté;852;;non;non;non;The Cra gains Sharpening when they cast their Precision Shot. However, they can no longer increase their Precision level above 200.
6961;CRA;9;L'art des Balises;3362;;non;non;non;Beacons can be cast without line of sight but cost 1 WP more.
6962;CRA;9;Tir divergent;586;;oui;oui;non;When the Sharpened Arrowhead is consumed, the caster and the target of the spell suffer an MP removal.
6963;CRA;9;Perforation Crâ;619;;non;non;non;When the Cra has the Sharpened Arrowhead, their next single-target spell runs through the target and inflicts damage in a straight line. In return, their Sharpened Arrowhead no longer gives them damage inflicted.
7795;CRA;9;Pointe protectrice;6997;;oui;non;non;If the Cra ends their turn with Sharpening, that state is consumed to give the Cra elemental resistance for the following turn.
912;SADIDA;10;Sadida Solitaire;912;;non;non;non;The Nettling spell, which allows Dolls to transform into a seed, no longer costs AP. However, the Sadida no longer regains WP when a Doll uses this spell.
913;SADIDA;10;Garde Feuille;913;;non;non;non;The Sadida's Trees give bonuses on Armor Received and Heals Received to nearby fighters to help keep them better protected.
916;SADIDA;10;Lien Poupesque;5463;;non;non;non;The Sadida's Dolls gain resistance. However, they pass on some of the damage they suffer to the Sadida.
917;SADIDA;10;Don sylvestre;5055;;non;non;non;When the Sadida removes one of their Trees, the Tree's remaining HP are sent to nearby fighters. However, the Trees have less max HP.
933;SADIDA;10;Exploupée;933;;non;non;non;The Sadida's Dolls explode when they die, inflicting damage on enemies and healing allies in a 2-cell circle. However, the Dolls have less max HP.
4959;SADIDA;10;Prière Sadida;4959;;oui;non;oui;The Sadida's Trees heal fighters who finish their turn on an adjacent cell.
5055;SADIDA;10;Terrain infecté;7195;;non;non;non;The Sadida's Trees apply Toxines to enemies in their area of influence. The Sadida can only summon their Trees adjacent to a fighter.
5058;SADIDA;10;Murmures Sauvages;5058;;non;non;non;The Sadida can summon 2 Voodolls, but they are stabilized.
5234;SADIDA;10;Venimeux;5234;;oui;oui;non;The Sadida cancels all MP reductions that they apply, but replaces them with Toxines. Toxines is a poison that inflicts damage at the start of the target's turn and can be maintained every turn.
7053;SADIDA;10;Terrain d'entente;6997;;non;non;non;The Sadida's Trees protect adjacent fighters by giving them a resistance bonus. However, their area of influence is reduced.
8149;SADIDA;10;Bénédiction Voodoll;2324;;non;non;non;The Voodoll can no longer be linked to an enemy, but it gains mobility and range to support the Sadida's other dolls.
8150;SADIDA;10;Poussée sylvestre;2118;;oui;oui;oui;The Sadida instantly summons Trees with the Seed spell. At end of turn, the Sadida summons seeds adjacent to their Trees. However, the Trees no longer restore the Sadida's WP. The Sadida can remove the seeds from the battlefield by using the Seed spell.
8151;SADIDA;10;Terrain fertile;5104;;non;non;non;Dolls and Seeds gain 1 additional level of Nettled if they are near one of the Sadida's Trees otherwise, they do not gain any Nettled.
8152;SADIDA;10;Croissance accélérée;917;;non;oui;oui;Dolls gain Nettled more quickly. However, they lose all their levels of Nettled if they are transformed into seeds with the Nettling spell.
8153;SADIDA;10;Dévouement poupesque;916;;non;non;non;The Sadida regains WP by sacrificing their dolls with the Seed spell, but the dolls are no longer transformed into seeds.
8154;SADIDA;10;Mauvaise graine;588;;non;non;non;Seeds disappear if a fighter walks on them. If the fighter is an enemy, the enemy loses MP based on the seed's level of Nettled.
8155;SADIDA;10;Cycle sylvestre;4300;;oui;non;non;Trees summoned by the Sadida gain additional Nettled, but die at the end of the Sadida's next turn.
8156;SADIDA;10;Communication végétale;7053;;oui;oui;oui;The Sadida sends their remaining MP to their dolls at the end of the Sadida's turn. However, if the Sadida has no MP left at the end of their turn, their dolls lose all their MP.
8157;SADIDA;10;Savoir Sadida;1420;;non;non;non;The Sadida's Seed spell can only be cast on an adjacent cell, but all of their Dolls have more range on their spells.
