Id;Nom;BreedId;MaxParTour;MaxParTourIncr;MaxParCible;Cooldown;wpCost
4588;Premier Sang;4;3;0;0;0;0
4589;Châtiment;4;2;0;0;0;0
4590;Ouvrir les veines;4;3;0;1;0;0
4592;Traumatisme;4;2;0;0;0;0
4593;Coup Sournois;4;4;0;1;0;0
4594;Coup pénétrant;4;2;0;0;0;0
4595;Fourberie;4;3;0;1;0;0
4596;Effroi;4;3;0;2;0;0
4597;Sournoiserie;4;0;0;0;2;0
4601;Galopade;4;0;0;0;2;1
4602;Surineur;4;0;0;0;2;0
4606;Assaut Brutal;4;0;0;0;0;0
4607;Passe-passe;4;0;0;0;0;0
4608;Assassin;4;0;0;0;0;0
4609;Piège de Répulsion II;4;0;0;0;0;0
4610;Hémophilie;4;0;0;0;0;0
5122;Embuscade;4;0;0;0;0;0
5124;Retenue;4;0;0;0;0;0
5126;Duperie;4;0;0;0;0;0
6850;Assassinat;4;0;0;0;2;2
8479;;4;3;0;0;0;0
8481;;4;2;0;0;0;1
8503;;4;0;0;0;0;0
8504;;4;0;0;0;0;0
8508;;4;0;0;0;0;0
8510;;4;0;0;0;0;0
8511;;4;0;0;0;0;0
8512;;4;0;0;0;0;0
8513;;4;0;0;0;0;0
749;Martel'heure;5;4;0;2;0;0
750;Perturbation;5;3;0;0;0;0
751;Suspension;5;2;0;0;0;0
752;Éclair obscur;5;3;0;2;0;0
753;Poussière;5;0;0;2;0;0
754;Aiguille;5;2;0;0;0;0
756;Mémoire;5;0;0;0;0;0
757;Prémonition;5;0;0;0;2;0
758;Maître du cadran;5;0;0;0;0;0
761;Horlogerie;5;0;0;0;0;0
763;Horloge;5;2;0;1;0;0
764;Taque, Tique;5;0;0;0;0;0
765;Tempus fugit;5;3;0;2;0;0
766;Rouage;5;1;0;0;0;0
767;Pointe-heure;5;2;0;1;0;0
771;Retour spontané;5;3;0;2;0;0
772;Symétrie;5;3;0;1;0;0
775;Ralentissement;5;3;0;2;0;1
776;Contre la montre;5;1;0;0;0;0
777;Sinistro;5;1;0;0;0;0
783;Sablier;5;4;0;1;0;0
785;Cours du temps;5;0;0;0;0;0
1417;Désynchronisation;5;2;0;0;0;0
1418;Paradoxe;5;2;0;1;0;0
2839;Dévouement;5;1;0;0;0;4
5344;Régulateur;5;1;0;0;0;3
5351;Présage;5;0;0;0;0;0
5352;Promptitude;5;0;0;0;0;0
5353;Tique, Taque;5;0;0;0;0;0
7184;Contre-horaire;5;0;0;0;0;0
7185;Déjà vu;5;0;0;0;0;0
7186;Connaissance du passé;5;0;0;0;0;0
7187;Présages violents;5;0;0;0;0;0
7188;Dimension sombre;5;0;0;0;0;0
7189;Ralentissement du temps;5;0;0;0;0;0
7190;Rémanence;5;0;0;0;0;0
7191;Mécanismes spécialisés;5;0;0;0;0;0
7192;Permutation momentanée;5;0;0;0;0;0
7193;Mage de combat;5;0;0;0;0;0
7195;Flétrissement;5;0;0;0;0;0
7196;Assimilation;5;0;0;0;0;0
2041;Pile ou face;6;3;0;0;0;0
2042;Dé six;6;1;0;0;0;1
2043;Tout ou rien;6;0;0;3;0;0
2044;Trois cartes;6;2;0;0;0;0
2045;Craps;6;3;0;0;0;0
2046;Feulement;6;1;0;0;0;1
2047;All in;6;1;0;0;0;0
2048;Roulette à dés;6;2;0;0;0;0
2049;Bataille;6;1;0;0;0;1
2050;Dé du chateux;6;2;0;1;0;0
2059;Tarot veinard;6;0;0;0;0;0
2060;Quitte ou double;6;0;0;0;2;0
2061;Félintuition;6;0;0;0;2;0
2062;Pucif;6;0;0;0;0;0
2065;Langue rapeuse;6;3;0;2;0;0
2066;Lacérations;6;2;0;0;0;0
2067;Capucine;6;3;0;2;0;0
2068;La Mésaventure;6;0;0;0;0;0
2072;Bas les pattes;6;0;0;1;0;0
2073;Pupuce;6;2;0;1;0;0
2075;Topkaj;6;0;0;0;2;0
2076;En veine;6;0;0;0;0;0
2078;Jeton de vie;6;0;0;0;2;1
2079;Coup du sort;6;0;0;0;2;1
2080;L'Infortune;6;0;0;0;0;0
5246;Tarot divinatoire;6;0;0;0;0;0
5249;Impact félin;6;0;0;0;0;0
5250;Le Destin d'Ecaflip;6;0;0;0;0;0
5251;Triche;6;0;0;0;0;0
7225;Trèfle;6;0;0;0;2;0
7954;Veine soigneuse;6;0;0;0;0;0
7955;Tarot félin;6;0;0;0;0;0
7956;La fortune sourit aux audacieux;6;0;0;0;0;0
7957;Pile, je gagne;6;0;0;0;0;0
7958;Dés généreux;6;0;0;0;0;0
7959;Félin suprême;6;0;0;0;0;0
7960;Black Jack;6;0;0;0;0;0
7961;Atouts périodiques;6;0;0;0;0;0
7999;Sept fétiche;6;0;0;0;0;0
8000;L'Univers;6;0;0;0;0;0
8001;Veine des cartes;6;0;0;0;0;0
623;Colli-mateur;7;2;0;0;0;0
625;Reconstitution;7;2;0;0;0;1
627;Déphasage;7;0;0;0;4;2
628;Médecin sans barrière;7;0;0;0;0;0
630;Anatomie;7;2;0;0;0;0
636;Corro-soin;7;2;0;1;0;1
638;Feu gardien;7;2;0;0;0;0
644;Marquage précis;7;0;0;0;0;0
645;Explo-soin;7;2;0;0;0;0
779;Mot soignant;7;3;0;2;0;0
780;Revitalisation;7;3;0;0;0;0
781;Lien d'amitié;7;1;0;0;0;1
782;Jouvence;7;0;0;0;3;0
1415;Soin unique;7;0;0;0;0;0
1532;Infusion;7;2;0;1;0;0
1533;Vivification;7;0;0;3;0;0
1534;Flamme purificatrice;7;2;0;0;0;0
1535;Rénisurrection;7;1;0;0;0;1
1536;Paroxysme vital;7;0;0;0;0;0
1537;Serial marqueur;7;0;0;0;0;0
1538;Interdiction;7;2;0;0;0;0
1539;Cure alternative;7;3;0;0;0;0
1540;Psychose;7;0;0;0;2;1
1541;Torpeur;7;2;0;0;0;0
1542;Fiole infectée;7;1;0;0;0;2
5451;Délai;7;0;0;0;0;0
5453;Tous pour moi;7;0;0;0;0;0
5454;Ponction;7;0;0;0;0;0
5455;Nature morte;7;0;0;0;0;0
5463;Vampiripsa;7;0;0;0;0;0
7985;Fontaine salvatrice;7;0;0;0;3;2
7987;Radiance;7;0;0;0;0;0
7990;Présence;7;0;0;0;0;0
7991;Super Lapino II;7;0;0;0;0;0
7992;Transgression;7;0;0;0;0;0
7993;Elixir de vent;7;0;0;0;0;0
7994;Apprenti alchimiste;7;0;0;0;0;0
7995;Secret de fabrication;7;0;0;0;0;0
7996;Marque anbareul;7;0;0;0;0;0
7997;Paradoxe Contre-naturel;7;0;0;0;0;0
7998;Ambivalence;7;0;0;0;0;0
4775;Fulgur;8;3;0;0;0;0
4776;Jugement;8;4;0;2;0;0
4777;Super Iop Punch;8;2;0;0;0;0
4778;Épée céleste;8;4;0;0;0;0
4779;Colère de Iop;8;1;0;0;0;1
4780;Ébranler;8;4;0;0;0;0
4781;Roknocerok;8;3;0;2;0;0
4782;Fendoir;8;2;0;0;0;0
4783;Charge;8;4;0;2;0;0
4784;Ravage;8;1;0;0;0;0
4785;Jabs;8;2;0;0;0;0
4786;Rafale;8;6;0;0;0;0
4787;Torgnole;8;3;0;0;0;0
4788;Tannée;8;2;0;1;0;0
4789;Épée de Iop;8;2;0;0;0;0
4790;Focus;8;0;0;0;3;0
4791;Vertu;8;0;0;0;2;1
4792;Posture;8;0;0;0;2;1
4793;Amplification;8;0;0;0;3;2
4794;Duel;8;1;0;0;0;0
4795;Virilité;8;0;0;0;0;0
4796;Compulsion;8;0;0;0;0;0
4797;Autorité;8;0;0;0;0;0
4798;Duelliste;8;0;0;0;0;0
4799;Roi de la Colline;8;0;0;0;0;0
5100;Bravoure;8;0;0;0;0;0
5101;Précipitation;8;0;0;0;0;0
5102;Ralliement;8;0;0;0;0;0
5103;Mini-Bond;8;0;0;0;0;0
5104;Faille Sismique;8;0;0;0;0;0
5130;Heure de gloire;8;0;0;0;2;0
8413;Destin;8;0;0;0;0;0
8414;Impétueux;8;0;0;0;0;0
8415;Démonstration;8;0;0;0;0;0
8416;Frappe et court;8;0;0;0;0;0
8417;Dissipation;8;0;0;0;0;0
8418;Avant-poste;8;0;0;0;0;0
8419;Fortification;8;0;0;0;0;0
8420;Le Iop de Wazemmes;8;0;0;0;0;0
8421;Conquête;8;0;0;0;0;0
8422;Porte-étendard;8;0;0;0;0;0
4769;Flèche ardente;9;3;0;2;0;0
4774;Roulade;9;2;0;0;0;2
4805;Retraite balisée;9;0;0;0;2;0
4806;Eclaireur;9;0;0;0;3;0
4808;Frappe incisive;9;0;0;0;3;0
4809;Flèche tempête;9;3;0;0;0;0
4810;Flèche de recul;9;2;0;1;0;1
4811;Flèche harcelante;9;1;0;0;0;0
4812;Flèche statique;9;2;0;1;0;1
4813;Flèche chercheuse;9;4;0;0;0;0
4814;Flèche destructrice;9;0;0;0;2;1
4815;Flèche perçante;9;2;0;1;0;0
4816;Flèche cinglante;9;2;0;1;0;0
4817;Pluie de flèches;9;2;0;0;0;0
4818;Flèche criblante;9;2;0;1;0;1
4819;Flèche explosive;9;2;0;0;0;1
4820;Flèche fulminante;9;3;0;0;0;0
4821;Flèche enflammée;9;2;0;0;0;0
4822;Flèche d'immolation;9;3;0;0;0;0
6842;Rafale;9;0;0;0;3;1
6945;Archer futé;9;0;0;0;0;0
6946;Éclaireur spécialisé;9;0;0;0;0;0
6947;Balises discrètes;9;0;0;0;0;0
6948;Parti pris;9;0;0;0;0;0
6949;Distance focale;9;0;0;0;0;0
6950;Précision vorace;9;0;0;0;0;0
6951;La voie de l'arc;9;0;0;0;0;0
6952;Débalisage massif;9;0;0;0;0;0
6953;Étude balistique;9;0;0;0;0;0
6955;Paradoxe du Crâ;9;0;0;0;0;0
6956;Éclaireur intouchable;9;0;0;0;0;0
6957;Instinct du chasseur;9;0;0;0;0;0
6958;Balisage rapproché;9;0;0;0;0;0
6959;Tireur solitaire;9;0;0;0;0;0
6960;Esprit affûté;9;0;0;0;0;0
6961;L'art des Balises;9;0;0;0;0;0
6962;Tir divergent;9;0;0;0;0;0
6963;Perforation Crâ;9;0;0;0;0;0
7753;Œil de taupe;9;0;0;0;3;1
7795;Pointe protectrice;9;0;0;0;0;0
912;Sadida Solitaire;10;0;0;0;0;0
913;Garde Feuille;10;0;0;0;0;0
914;Toxines;10;3;0;1;0;1
915;Arbre;10;0;0;0;2;1
916;Lien Poupesque;10;0;0;0;0;0
917;Don sylvestre;10;0;0;0;0;0
918;Larme du Sadida;10;3;0;0;0;0
919;Vent Empoisonné;10;0;0;0;2;2
920;Sacrifice Poupesque;10;0;0;0;2;0
921;Vaporiser;10;0;0;3;0;0
922;Drainage;10;2;0;0;0;1
925;Ronce;10;4;0;3;0;0
927;Herbes Folles;10;2;0;1;0;0
928;Coup de Froid;10;0;0;2;0;0
929;Engrais;10;3;0;2;0;0
930;Gadoule;10;3;0;2;0;0
931;Rouille;10;3;0;0;0;0
932;Relent Boisé;10;3;0;0;0;0
933;Exploupée;10;0;0;0;0;0
934;Kohmir;10;0;0;0;0;0
935;Tremblement de Terre;10;0;0;1;0;0
937;Ronces Multiples;10;2;0;0;0;1
938;Bourrasque;10;2;0;0;0;0
4959;Prière Sadida;10;0;0;0;0;0
5055;Terrain infecté;10;0;0;0;0;0
5057;Eveil Sylvestre;10;1;0;0;0;1
5058;Murmures Sauvages;10;0;0;0;0;0
5234;Venimeux;10;0;0;0;0;0
7053;Terrain d'entente;10;0;0;0;0;0
7054;Fertilisant;10;2;0;1;0;1
8139;Force de la nature;10;0;0;0;4;1
8149;Bénédiction Voodoll;10;0;0;0;0;0
8150;Poussée sylvestre;10;0;0;0;0;0
8151;Terrain fertile;10;0;0;0;0;0
8152;Croissance accélérée;10;0;0;0;0;0
8153;Dévouement poupesque;10;0;0;0;0;0
8154;Mauvaise graine;10;0;0;0;0;0
8155;Cycle sylvestre;10;0;0;0;0;0
8156;Communication végétale;10;0;0;0;0;0
8157;Savoir Sadida;10;0;0;0;0;0
8158;Chaîne de la nature;10;0;0;0;0;0
5028;Sang pour sang;11;4;0;0;0;0
5029;Cage de sang;11;0;0;1;0;0
5030;Furie sanguinaire;11;0;0;2;0;0
5031;Sang brûlant;11;2;0;0;0;0
5032;Punition;11;0;0;0;2;3
5033;Pied rocheux;11;3;0;0;0;0
5034;Tempête spirituelle;11;2;0;0;0;0
5035;Démence;11;2;0;0;0;1
5036;Fracasse;11;2;0;1;0;0
5037;Colonnades;11;1;0;0;0;0
5038;Aversion;11;0;0;2;0;0
5039;Poing tatoué agrippant;11;0;0;2;0;0
5040;Assaut;11;0;0;2;0;1
5041;Projection;11;3;0;0;0;0
5042;Fulgurance;11;1;0;0;0;1
5043;Attirance;11;0;0;0;0;2
5044;Transposition;11;0;0;0;2;1
5045;Sacrifice;11;1;0;0;0;0
5047;Armure sanguine;11;0;0;0;3;0
5049;Traînée de sang;11;0;0;0;0;0
5050;Placidité;11;0;0;0;0;0
5051;Sang tatoué;11;0;0;0;0;0
5052;Refus de la mort;11;0;0;0;0;0
5053;Pacte de sang;11;0;0;0;0;0
5054;Transcendance;11;0;0;0;0;0
5192;Mobilité;11;0;0;0;0;0
5193;Libation;11;0;0;0;0;0
5194;Veines de Wakfu;11;0;0;0;0;0
5195;Fracasseur;11;0;0;0;0;0
7211;Entaille;11;2;0;0;0;0
7212;Transfert sanguin;11;2;0;1;0;1
7213;Circulation sanguine;11;0;0;0;0;0
7214;Jeu dangereux;11;0;0;0;0;0
7215;Vision;11;0;0;0;0;0
7216;Armure brûlante;11;0;0;0;0;0
7217;Pacte de Wakfu;11;0;0;0;0;0
7218;Coeur de Sacrieur;11;0;0;0;0;0
7219;Mal des transports;11;0;0;0;0;0
7220;Pilier;11;0;0;0;0;0
7224;Immolation;11;0;0;0;0;0
7830;Exécuteur;11;0;0;0;0;0
4702;Souffle Enflammé;12;4;0;0;0;0
4703;Tournée Générale;12;0;0;3;0;0
4704;Coup Laiteux;12;2;0;0;0;0
4705;Flasque Explosive;12;3;0;0;0;0
4706;Toilaitage;12;2;0;0;0;0
4707;Souffle Laiteux;12;3;0;0;0;0
4708;Nuage Laiteux;12;3;0;0;0;0
4709;Tekilait;12;0;0;2;0;0
4710;Vague de Lait;12;1;0;0;0;1
4711;Fontaine de Laiqueur;12;2;0;0;0;0
4712;Triple Karma Leet;12;0;0;3;0;0
4713;Six Roses;12;3;0;0;0;0
4714;Frappe Fût;12;4;0;0;0;0
4715;Lucha L'ambrée;12;3;0;0;0;0
4716;Blitzkriek;12;2;0;0;0;1
4717;Coup de bambou;12;1;0;0;0;1
4719;Ether;12;0;0;0;2;1
4720;Téléportono;12;0;0;0;2;1
4721;Happy Hour;12;1;0;0;0;1
4722;Cocktail;12;0;0;0;0;0
4723;Maître de l'Ivresse;12;0;0;0;0;0
4724;Tonneau sans Fond;12;0;0;0;0;0
4725;Tonneau Agressif;12;0;0;0;0;0
4726;Instinct Laiteux;12;0;0;0;0;0
5148;Bambouteille;12;0;0;0;0;0
5149;Cyanose;12;0;0;0;0;0
5150;Buvette;12;0;0;0;0;0
5151;Pandémie;12;0;0;0;0;0
6844;Soif;12;0;0;0;2;1
6845;Ebriété;12;0;0;0;3;1
6846;Éméché;12;0;0;0;0;0
6463;Barbrûlé;13;3;0;2;0;0
6464;Bombe collante;13;1;0;0;0;1
6465;Exécution;13;2;0;0;0;0
6466;Croisement;13;3;0;0;0;0
6467;Perforation;13;1;0;0;0;1
6468;Mitraille;13;3;0;0;0;0
6469;Tromblon;13;3;0;2;0;0
6470;Balle plombante;13;1;0;0;0;0
6471;Dague boomerang;13;3;0;2;0;0
6472;Pulsar;13;2;0;1;0;1
6473;Coup rapide;13;3;0;0;0;0
6474;Tricherie;13;2;0;0;0;0
6475;Espingole;13;1;0;0;0;0
6476;Oblitération;13;2;0;0;0;0
6478;Longue lame;13;2;0;1;0;0
6479;Roublaboom;13;0;0;0;0;0
6480;Grande évasion;13;0;0;0;0;0
6481;Bomber Fan;13;0;0;0;0;0
6482;Artificier;13;0;0;0;0;0
6483;Tunique renforcée;13;0;0;0;0;0
6484;Démineur;13;0;0;0;0;0
6485;Lame rouillée;13;0;0;0;0;0
6486;Maître des lames;13;0;0;0;0;0
6487;Mur de poudre;13;0;0;0;0;0
6488;Fugitif;13;0;0;0;0;0
6489;Défourailleur;13;0;0;0;3;0
6490;Botte;13;2;0;0;0;1
6491;Evanescence;13;0;0;0;2;1
6492;Grappin;13;2;0;0;0;1
6493;Aimant;13;1;0;0;0;2
6494;Fumigènes;13;0;0;0;2;1
7062;Tir surprise;13;0;0;0;0;0
7063;Baril;13;0;0;0;0;0
7064;Dynamite;13;0;0;0;0;0
7065;Explobombe;13;0;0;0;0;0
7090;Bombes élémentaires;13;0;0;0;0;0
7091;Maître Roublard;13;0;0;0;0;0
7092;Jackpot;13;0;0;0;0;0
7982;Tacticien;13;0;0;0;0;0
7983;Trainée de poudre;13;0;0;0;0;0
7984;Bombes à retardement;13;0;0;0;0;0
7066;Coup de pied fouetté;14;2;0;0;0;0
7067;Félure;14;3;0;0;0;0
7068;Détraquage;14;2;0;0;0;0
7069;Névrose;14;2;0;1;0;1
7070;Cabriole;14;1;0;0;0;0
7071;Signe;14;0;0;2;0;0
7072;Armature;14;2;0;1;0;0
7073;Rescousse;14;2;0;0;0;0
7074;Acharnement;14;2;0;1;0;0
7075;Sarabande;14;0;0;1;0;1
7076;Fugue;14;2;0;0;0;0
7077;Poursuite;14;0;0;2;0;0
7078;Culbute;14;2;0;0;0;0
7079;Cavalcade;14;3;0;2;0;0
7080;Dislocation;14;2;0;0;0;0
7084;Esprit masqué;14;0;0;0;5;1
7085;Danse motivante;14;0;0;0;4;0
7086;Danse macabre;14;0;0;0;3;1
7087;Voltige;14;0;0;0;2;0
7088;Aura de brutalité;14;0;0;0;3;1
7089;Solidité;14;0;0;0;2;1
7093;Jeu de jambes;14;0;0;0;0;0
7094;Bas les masques;14;0;0;0;0;0
7095;Poussées violentes;14;0;0;0;0;0
7096;Art de la vengeance;14;0;0;0;0;0
7097;Masque de vie;14;0;0;0;0;0
7098;Carnaval;14;0;0;0;0;0
7099;Armure unique;14;0;0;0;0;0
7100;Ancre;14;0;0;0;0;0
7101;Brute;14;0;0;0;0;0
7102;Protecteur reculé;14;0;0;0;0;0
7103;Collisions de support;14;0;0;0;0;0
7104;Érosion;14;0;0;0;0;0
7105;Virevolte;14;0;0;0;0;0
7106;Collisions régénérantes;14;0;0;0;0;0
7107;Miroirs;14;0;0;0;0;0
7108;Au contact;14;0;0;0;0;0
7111;Art de la fuite;14;0;0;0;0;0
7112;Regard masqué;14;0;0;0;0;0
7113;Poussées d'entrave;14;0;0;0;0;0
6256;Plombage;15;3;0;0;0;0
6257;Fléau;15;2;0;0;0;1
6258;Rupture;15;3;0;0;0;0
6259;Balafre;15;2;0;1;0;0
6260;Emeute;15;3;0;2;0;0
6261;Croc-en-jambe;15;2;0;0;0;0
6262;Hachure;15;2;0;0;0;0
6263;Bastonnade;15;4;0;2;0;1
6264;Saccade;15;2;0;0;0;0
6265;Molosse;15;0;0;0;0;0
6266;Balayage;15;2;0;0;0;0
6267;Contusion;15;3;0;0;0;0
6268;Cador;15;2;0;0;0;1
6269;Brise'Os;15;3;0;1;0;0
6270;Baroud;15;2;0;1;0;1
6271;Terrier;15;0;0;0;0;0
6272;Art Canin;15;0;0;0;0;0
6273;Maître Chien;15;0;0;0;0;0
6274;Compagnon;15;0;0;0;0;0
6275;Ardeur;15;0;0;0;0;0
6276;Epuisement;15;0;0;0;0;0
6277;Pillage;15;0;0;0;0;0
6278;Crocs Futés;15;0;0;0;0;0
6279;Flair;15;0;0;0;0;0
6280;Marchandage;15;0;0;0;0;0
6281;Pistage;15;0;0;0;0;0
6282;Force sage;15;0;0;0;0;0
6284;Chasseur;15;2;0;0;0;0
6285;Poursuite;15;0;0;0;3;1
6287;Canine;15;1;0;0;0;0
6288;Apaisement;15;0;0;0;3;1
7551;Meute;15;0;0;0;2;1
7552;Élan;15;2;0;0;0;0
7553;Acharné;15;0;0;0;0;0
7554;Chasse ouverte;15;0;0;0;0;0
7555;Digestion;15;0;0;0;0;0
7556;Énergie Canine;15;0;0;0;0;0
7557;Fureur;15;0;0;0;0;0
7558;Traqueur Canin;15;0;0;0;0;0
7596;Canin'Os;15;0;0;0;0;0
6902;Feu ardent;16;4;0;0;0;0
6903;Crache flammes;16;2;0;0;0;0
6904;Calcination;16;2;0;0;0;0
6905;Flambage;16;3;0;0;0;0
6906;Sabordage;16;0;0;1;0;0
6907;Courant;16;3;0;0;0;0
6908;Évaporation;16;2;0;0;0;0
6909;Ecume;16;2;0;0;0;0
6910;Flibuste;16;3;0;0;0;0
6911;Dissolution;16;2;0;1;0;0
6912;À la masse;16;3;0;2;0;0
6913;Piétinement;16;2;0;1;0;0
6914;Pilonnage;16;3;0;1;0;0
6915;Marteau aimant;16;2;0;0;0;0
6916;Choc;16;2;0;1;0;0
6917;Blindage;16;0;0;0;2;2
6918;Surtension;16;2;0;1;0;0
6919;Machinerie;16;0;0;0;2;2
6920;Embuscade;16;0;0;0;2;0
6921;Transition;16;1;0;0;0;1
6922;Flux de Stasis;16;1;0;0;0;0
6925;Modérateur d'énergie;16;0;0;0;0;0
6926;Routes sinueuses;16;0;0;0;0;0
6927;Versatilité;16;0;0;0;0;0
6928;Blindage renforcé;16;0;0;0;0;0
6929;Stratégie robotique;16;0;0;0;0;0
6930;Technologie de transports;16;0;0;0;0;0
6931;Assistance tellurique;16;0;0;0;0;0
6932;Substitution mécanique;16;0;0;0;0;0
6933;Patience;16;0;0;0;0;0
6934;Alliage léger;16;0;0;0;0;0
6935;Inversion d'énergie;16;0;0;0;0;0
6936;Revêtement à toute épreuve;16;0;0;0;0;0
6937;Activation;16;0;0;0;0;0
6938;Exécution immédiate;16;0;0;0;0;0
6939;Protection stasifiée;16;0;0;0;0;0
6940;Roues chaudes;16;0;0;0;0;0
6941;Conquête sereine;16;0;0;0;0;0
6942;Tacticien;16;0;0;0;0;0
6943;Mécanique avancée;16;0;0;0;0;0
7810;Déploiement tactique;16;0;0;0;0;0
4668;Egide ardente;18;2;0;1;0;1
4669;Targe fracassante;18;2;0;0;0;0
4670;Séisme;18;2;0;0;0;0
4671;Raclée;18;4;0;2;0;0
