Id;Classe;Nom;Element;CoutPA;PortMin;PortMax;Area;BaseDmg;CritDmg;LigneDeVue;iconId;EstPassif;DescEN
2041;ECAFLIP;Pile ou face;terre;3;1;3;monocible;91;114;oui;2041;non;Cast on an enemy, this spell deals damage and heals the Ecaflip for an amount equal to the HP lost by the target. Cast on an ally, the spell heals the ally and the Ecaflip.
2042;ECAFLIP;Dé six;feu;6;1;1;monocible;247;308;oui;2050;non;The next time this spell is cast, its cost is lower.
2043;ECAFLIP;Tout ou rien;terre;2;1;2;monocible;98;123;oui;2043;non;This spell inflicts heavy damage. However, the Ecaflip has a 50% chance of getting hurt themself.
2044;ECAFLIP;Trois cartes;terre;5;1;3;zone;139;174;oui;2044;non;The Ecaflip tosses three cards in a line. Based on the number of targets hit, the Ecaflip gains resistance.
2045;ECAFLIP;Craps;feu;2;3;7;monocible;60;76;oui;2045;non;Inflicts Fire damage on a target and applies Preparation to the Ecaflip. Preparation increases the damage of the next spell.
2046;ECAFLIP;Feulement;feu;6;1;1;zone;197;246;oui;2046;non;With this AoE spell, the Ecaflip can regain health and armor based on the number of opponents in the area of effect.
2047;ECAFLIP;All in;terre;1;1;4;monocible;19;24;oui;2047;non;This spell uses the Ecaflip's remaining AP (up to 10). The more AP used, the more damage it deals. The Ecaflip then has a 50% chance to recover all AP used by this spell.
2048;ECAFLIP;Roulette à dés;feu;5;;;zone;139;174;oui;2048;non;This area-of-effect spell is cast around the Ecaflip. It inflicts damage on enemies and heals allies.
2049;ECAFLIP;Bataille;terre;4;1;1;monocible;164;205;oui;2049;non;The Ecaflip plays War with their target. If the Ecaflip wins, they gain AP and Critical Hit. If they lose, the opposite happens: They lose their current AP!
2050;ECAFLIP;Dé du chateux;feu;3;1;3;monocible;51;63;oui;2042;non;This spell's damage is variable. If the Ecaflip kills an enemy with it, they gain 2 AP on the next turn.
2059;ECAFLIP;Tarot veinard;;;;;;0;0;oui;5456;oui;Tarot cards increase the Ecaflip's Lucky Day and give them a boost to critical hit rate based on the cards' numerical value.
2060;ECAFLIP;Quitte ou double;;2;;;;0;0;oui;859;non;This spell draws three tarot cards from the draw pile and immediately plays them on the Ecaflip.
2061;ECAFLIP;Félintuition;;3;1;4;monocible;74;93;oui;2061;non;Places a glyph that stays on the field for 1 turn. The glyph activates when an allied or enemy fighter starts their turn on it.
2062;ECAFLIP;Pucif;;;;;;0;0;oui;7931;oui;This passive reduces elemental healing done by the Ecaflip. In exchange, each elemental heal is replicated at the end of the target's turn before being transferred to the nearest ally.
2065;ECAFLIP;Langue rapeuse;eau;3;1;5;monocible;98;123;oui;2065;non;Draws the target toward the caster. Heals allies and inflicts damage on enemies.
2066;ECAFLIP;Lacérations;eau;4;2;4;monocible;98;123;oui;2066;non;The Ecaflip teleports several cells away, dealing damage along the way. If any allies are in their path, those allies are healed.
2067;ECAFLIP;Capucine;eau;4;0;4;monocible;111;139;oui;2067;non;The damage from this spell is inflicted as rebounds. If the spell targets an enemy A, the spell rebounds to an enemy B within 3 cells or less from enemy A. It then rebounds again to an enemy C within 3 cells or less from fighter B. It works the same way if the spell is cast on an ally, but then the spell will do a chain heal.
2068;ECAFLIP;La Mésaventure;;;;;;0;0;oui;2068;oui;Unlocks an extra tarot card (added to the draw pile). This card reduces the target's mobility and damage but increases their resistance for one turn.
2072;ECAFLIP;Bas les pattes;eau;2;1;1;monocible;65;82;oui;2072;non;This spell pushes the target one cell per water spell previously cast in the turn.
2073;ECAFLIP;Pupuce;eau;4;0;2;monocible;141;176;oui;2073;non;This super-powerful spell has a different effect depending on the target it is cast on: on an ally, it provides healing and increases MP and WP. On an enemy, however, the spell reduces their WP and health.
2075;ECAFLIP;Topkaj;;3;1;4;;0;0;oui;2075;non;If cast on a KO'd ally, this spell revives the ally (an ally can only be revived once per fight) and gives them MP. If cast on the Ecaflip, it gives a bonus to critical hit rate and boosts MP for 2 turns, applied to the Ecaflip and their nearby allies.
2076;ECAFLIP;En veine;;;;;;0;0;oui;5246;oui;Each Critical Hit point given by the Ecaflip (to themself or someone else) increases their Lucky Day by 1. However, when Critical Hit is given, it only lasts one turn.
2078;ECAFLIP;Jeton de vie;;2;1;1;;0;0;oui;2078;non;This spell's target gains a life token. The target can survive a lethal attack once per turn. The token lasts for one turn: if not consumed, on the Ecaflip's next turn, the Ecaflip recovers it and sets their HP to be the same as the spell target's HP.
2079;ECAFLIP;Coup du sort;;1;1;1;;0;0;oui;850;non;This spell uses the cards in hand.
2080;ECAFLIP;L'Infortune;;;;;;0;0;oui;2080;oui;Unlocks an extra tarot card (added to the draw pile). This tarot card converts the target's Critical Hit into Block, at a rate of one to one, for one turn.
5246;ECAFLIP;Tarot divinatoire;;;;;;0;0;oui;4959;oui;The Ecaflip earns bonuses by playing cards in pairs of the same color. However, Roll Again costs more.
5249;ECAFLIP;Impact félin;;;;;;0;0;oui;5249;oui;This passive changes how the number of uses of Feline Leap is generated. Ending a turn adjacent to an enemy gives the spell two extra uses.
5250;ECAFLIP;Le Destin d'Ecaflip;;;;;;0;0;oui;5250;oui;Unlocks an extra tarot card (added to the draw pile). This tarot card inflicts serious damage on the target. However, if the target is still alive the next turn, the Ecaflip takes the same damage.
5251;ECAFLIP;Triche;;;;;;0;0;oui;852;oui;This passive allows the Ecaflip to play the first card of their turn for free. However, unless they use Roll Again, the Ecaflip can only draw a single card.
7225;ECAFLIP;Trèfle;;3;0;3;;0;0;oui;861;non;This spell can help an ally by granting various bonuses or weaken an enemy by making them more vulnerable.
7954;ECAFLIP;Veine soigneuse;;;;;;0;0;oui;5463;oui;With this passive, Lucky Day increases healing done by the Ecaflip. However, Lucky Day only lasts one turn, no matter how it's generated.
7955;ECAFLIP;Tarot félin;;;;;;0;0;oui;7928;oui;When the Ecaflip uses a tarot card on a fighter, they switch places with them. However, the Ecaflip will be stabilized until their turn ends.
7956;ECAFLIP;La fortune sourit aux audacieux;;;;;;0;0;oui;5466;oui;With this passive activated, the Ecaflip will regenerate Wakfu points when badly injured.
7957;ECAFLIP;Pile, je gagne;;;;;;0;0;oui;5251;oui;This passive boosts the Ecaflip's natural resistance and survival abilities. They regenerate and gain resistance bonuses when they play a card with 100 Lucky Day. In exchange, the Ecaflip loses all their dodge.
7958;ECAFLIP;Dés généreux;;;;;;0;0;oui;7935;oui;This passive transforms Lucky Star, applied when the Ecaflip goes over 100 Critical Hit. Instead of boosting damage, Lucky Star now boosts healing.
7959;ECAFLIP;Félin suprême;;;;;;0;0;non;2059;oui;This passive changes the Feline Leap spell. It can be cast without line of sight, but it costs more.
7960;ECAFLIP;Black Jack;;;;;;0;0;oui;5101;oui;Cards in the Ecaflip's hand are added up at the start of the turn. If their total value is equal to or less than 20, the Ecaflip gains Armor. If their value is over 20, the Ecaflip gets a penalty to final Armor received for 1 turn.
7961;ECAFLIP;Atouts périodiques;;;;;;0;0;oui;5461;oui;This passive allows for some control over cards. On odd turns, the Ecaflip can only draw and play odd-numbered tarot cards, and on even turns, they can only draw and play even-numbered tarot cards.
7999;ECAFLIP;Sept fétiche;;;;;;0;0;oui;866;oui;Every six tarot cards played with their normal effect (not doubled by Lucky Day), the Ecaflip maximizes their Lucky Day and empties their draw pile.
8000;ECAFLIP;L'Univers;;;;;;0;0;oui;8000;oui;Cuts Lucky Day gains in half. Unlocks the Universe card when the Ecaflip reaches exactly 42 Lucky Day (the card is not in the draw pile).
8001;ECAFLIP;Veine des cartes;;;;;;0;0;oui;2062;oui;This passive grants control over Lucky Day based on the cards still in the Ecaflip's hand at the end of their turn.
4668;ELIOTROPE;Egide ardente;terre;3;1;1;monocible;111;139;oui;4668;non;This spells repositions a portal on a target or through another portal. If the Eliotrope has Celestial Gift when they cast the spell, the WP cost is refunded.
4669;ELIOTROPE;Targe fracassante;terre;3;1;3;monocible;91;114;oui;4669;non;This spell inflicts Earth damage and debuffs the target based on the Eliotrope's active mode. If the Eliotrope consumes the Celestial Gift on the spell, removal effects are doubled.
4670;ELIOTROPE;Séisme;terre;4;1;4;zone;111;139;oui;4670;non;If the Eliotrope targets themself, they inflict damage around them. If they target an enemy, they mark the enemy the next time they cast Exaltation, the marked enemy will take indirect damage.
4671;ELIOTROPE;Raclée;terre;3;1;4;monocible;98;123;oui;4671;non;Inflicts Earth damage. If the target is on a portal, the Eliotrope is healed for the amount of damage they deal if in calm mode their damage is increased if in exalted mode.
4680;ELIOTROPE;Tourbillon;eau;2;1;4;zone;60;76;oui;4680;non;This spell can only be cast on an allied portal. Besides dealing damage and healing in an area of effect, it pushes targets in an area of effect around the portal (in calm mode) and attracts targets around the portal (in exalted mode).
4683;ELIOTROPE;Brèche temporaire;;2;1;1;;0;0;oui;4683;non;The Eliotrope can teleport to the targeted cell if they are in Calm mode. In Exalted mode, the target is teleported to the closest portal.
4684;ELIOTROPE;Exode;;1;1;1;;0;0;oui;7199;non;When cast on an empty cell, this spell moves a nearby portal to the targeted cell. Cast on a target, the target switches places with the nearest free portal.
4685;ELIOTROPE;Incandescence;;1;1;4;monocible;91;114;oui;4685;non;Stabilizes the target. If the target is an opponent, they suffer damage based on the number of portals near the target.
4686;ELIOTROPE;Rage;;;;;;0;0;oui;4686;oui;The Eliotrope gains Celestial Gift instantly after casting the Celestial Portal spell. However, the AP bonus from Celestial Gift maxes out at 1 time per turn.
4687;ELIOTROPE;Traquenard;;;;;;0;0;oui;4687;oui;Celestial Gift provides a very high damage bonus, but only if the target has its back to the Eliotrope.
4688;ELIOTROPE;Effervescence;;;;;;0;0;oui;7185;oui;This passive allows the Eliotrope to deal much greater damage with their next spell after changing modes. In exchange, the damage bonus from Calm lasts only one turn.
4689;ELIOTROPE;Intermédiaire;;;;;;0;0;oui;4689;oui;Celestial Portal no longer costs AP to cast, but Celestial Gift gives an MP bonus instead of an AP bonus.
4690;ELIOTROPE;Résilience;;;;;;0;0;oui;4690;oui;The Eliotrope no longer recovers WP upon gaining Celestial Gift. Instead, they gain Armor to absorb incoming attacks.
4691;ELIOTROPE;Wakméha;eau;4;1;5;monocible;131;164;oui;4691;non;In calm mode, this spell deals heavy damage if cast through a portal. In exalted mode, it deals damage both on and under a target's armor at the same time.
4692;ELIOTROPE;Pulsation;eau;2;1;4;monocible;91;114;oui;4692;non;This spell inflicts single-target damage or heals an ally through portals in a flexible way. If no portals are within 3 cells or less of the target, the damage and healing are increased.
4693;ELIOTROPE;Déluge;eau;3;1;5;monocible;105;132;oui;4693;non;In calm mode, the Eliotrope switches places with their target. In exalted mode, the Eliotrope teleports symmetrically to their target. If this spell is cast through a portal, only the damage or healing is applied.
4694;ELIOTROPE;Cataclysme;eau;5;1;4;zone;195;244;oui;4694;non;In Calm mode, the Eliotrope deploys a Cataclysm area of effect on the field. The next time Exaltation is cast, they teleport to the area and then deal huge damage around them. In Exalted mode, the Eliotrope inflicts heavy damage on the target.
4695;ELIOTROPE;Heurt;terre;4;1;4;zone;121;152;oui;4695;non;Inflicts damage in a cross-shaped area of effect. In exalted mode, the area of effect is a diagonal cross. If the Eliotrope consumes Celestial Gift on this spell, they regain 1 AP for each target killed.
4697;ELIOTROPE;Flux torrentiel;air;4;1;3;zone;102;127;oui;4697;non;Inflicts damage in a line. Enemies starting or ending their turn in the area where the spell was cast take extra damage. When cast through a portal, the Eliotrope inflicts major damage on the target, but the destination portal is destroyed.
4698;ELIOTROPE;Siphon;air;2;1;4;monocible;75;94;oui;4698;non;This spell inflicts Air damage on enemies and heals allies, in addition to pushing or attracting (based on what mode the Eliotrope is in).
4699;ELIOTROPE;Salve éthérée;air;3;1;4;monocible;105;132;oui;4699;non;Inflicts Air damage and gives the target a healing received penalty (in calm mode) or an armor received penalty (in exalted mode).
4700;ELIOTROPE;Tempête;air;5;1;4;zone;164;205;oui;4700;non;Inflicts damage in an area of effect. If this spell is cast on a portal, the area-of-effect damage is dealt around each portal currently on the field, and the portals are destroyed.
4701;ELIOTROPE;Lame déchaînée;air;5;1;2;monocible;176;220;oui;4701;non;This spell inflicts heavy damage on the target, but can only be cast on an adjacent target. The target will take greater damage if it is on a portal.
5056;ELIOTROPE;Disciple du portail;;;;;;0;0;oui;5348;oui;This passive allows the Eliotrope to create a temporary portal under them when they cast the Exaltation spell. The portal can exceed the limit of 4, but it cannot be moved and will disappear at the end of the turn. In exchange, the Eliotrope can no longer use the Portal spell until the end of their turn.
5131;ELIOTROPE;Transitoire;;;;;;0;0;oui;5352;oui;If the Eliotrope or an ally goes through a Portal, they gain MP for the current turn. In exchange, they can no longer use portals to move until the following turn. This passive applies to all of the team's portals.
5132;ELIOTROPE;Réminiscence;;;;;;0;0;oui;5132;oui;The Eliotrope automatically changes modes at end of turn. Also, they can cast Exaltation on another ally from a distance.
5143;ELIOTROPE;Portail céleste;;;;;;0;0;oui;5143;oui;The Eliotrope teleports to the closest portal at the start of the turn.
7198;ELIOTROPE;Empreinte de Wakfu;;2;1;4;;0;0;oui;4843;non;On an ally, applies Armor that absorbs the next attacks received. On an enemy, removes Armor. The effects are doubled if the spell goes through a portal.
7199;ELIOTROPE;Coalition;;2;1;4;;0;0;oui;4684;non;Enables the Eliotrope to destroy all allied portals on the field and instantly place a new one on the targeted cell, in order to more efficiently change how their portals are set up.
7200;ELIOTROPE;Barrière;;2;1;1;;0;0;oui;7200;non;When cast on a portal, this spell places a barrier that shields any allies standing on it and debuffs any enemies that pass through it.
7202;ELIOTROPE;Interstellaire;;;;;;0;0;oui;5101;oui;Allies that use one of the Eliotrope's portals more than 6 cells away are no longer affected by Long Teleportation, but the starting portal is destroyed. This passive applies to all of the team's portals.
7203;ELIOTROPE;Dimension blanche;;;;;;0;0;oui;5104;oui;Fighters around portals gain Critical Hits at the start of the Eliotrope's turn if the Eliotrope is in Calm mode, and lose Critical Hits if the Eliotrope is Exalted.
7204;ELIOTROPE;Quiétude;;;;;;0;0;oui;880;oui;The Eliotrope regains AP (instead of gaining a damage inflicted bonus) when the Exaltation spell is cast.
7205;ELIOTROPE;Espace-temps;;;;;;0;0;oui;4688;oui;Instead of lasting indefinitely, portals last for 2 turns. This passive applies to all of the team's portals.
7206;ELIOTROPE;Porta(i)l;;;;;;0;0;oui;7206;oui;The Eliotrope now has just two portals, but they can move them around more easily and at a greater distance. Also, their damage and heals performed through portals are increased.
7207;ELIOTROPE;Bouclier de la fin;;;;;;0;0;oui;7207;oui;The Eliotrope must place their portals adjacent to a fighter. In return, allies who use their portals are healed and gain AP. This passive applies to all of the team's portals.
7208;ELIOTROPE;épée du début;;;;;;0;0;oui;7208;oui;The Eliotrope can get Celestial Gift by casting spells on adjacent targets. In exchange, the maximum range of all of their spells is reduced.
7209;ELIOTROPE;Cicatrisation;;;;;;0;0;oui;5454;oui;The Eliotrope is healed for part of their missing HP when ending their turn in Calm mode, in exchange for one WP. If they are on a portal, the healing is greater.
7210;ELIOTROPE;Concentration;;;;;;0;0;oui;7343;oui;Celestial Portal is more useful and can be cast multiple times per turn. In exchange, it is harder to cast.
7720;ELIOTROPE;Méditation;;;;;;0;0;oui;5131;oui;The Eliotrope no longer gains damage by starting their turn in Calm mode, but gains MP and elemental resistance instead. Celestial Gift is also consumed if heals are performed, which then boosts healing.
7814;ELIOTROPE;Souffle de la déesse;;;;;;0;0;oui;6925;oui;If the Eliotrope casts the Portal spell on an ally while standing on a portal, they switch places, but the caster does not place a new portal.
623;ENIRIPSA;Colli-mateur;air;2;1;4;monocible;60;76;oui;623;non;Inflicts Air damage on the target and makes the target vulnerable to collisions. To cause a collision, you must push one obstacle against another one.
625;ENIRIPSA;Reconstitution;eau;5;1;1;monocible;182;228;oui;625;non;This spell can reach targets through obstacles. It heals the targeted ally and increases healing done by the Eniripsa for the rest of their turn.
627;ENIRIPSA;Déphasage;;1;2;2;;0;0;oui;627;non;The target loses all AP but becomes immune to damage for one turn.
628;ENIRIPSA;Médecin sans barrière;;;;;;0;0;oui;628;oui;Changes how Propagator works: Performing heals no longer increases it, but inflicting damage does. Propagator is consumed on a single-target heal, and improves the healing performed.
630;ENIRIPSA;Anatomie;air;3;1;4;monocible;152;190;oui;630;non;Inflicts Air damage that penetrates Armor. This damage is greater if the target has high HP.
636;ENIRIPSA;Corro-soin;feu;5;1;1;zone;164;205;oui;636;non;The target becomes marked: boosts the next three direct, single-target damage spells suffered by the target. Also, a portion of damage inflicted on the target is redistributed in the form of healing around the target.
638;ENIRIPSA;Feu gardien;feu;4;1;2;;0;0;oui;638;non;Heals an ally and applies a mark to the ally: If the ally loses HP and falls below 50% of their max HP, they are healed by the Eniripsa a second time.
644;ENIRIPSA;Marquage précis;;;;;;0;0;oui;567;oui;Only one mark of a given type can be active at a time. When this mark is consumed or triggered, the Eniripsa gains 10% of their level in Propagator points.
645;ENIRIPSA;Explo-soin;feu;3;1;5;zone;83;104;oui;645;non;Inflicts Fire damage on enemies in an area of effect. Places a Sadist Mark: The Eniripsa deals Fire damage around the target when the target is KO'd.
779;ENIRIPSA;Mot soignant;eau;3;0;5;monocible;91;114;oui;779;non;Heals the targeted ally and gives them a Range bonus for one turn. Each Range point increases the max range of Range-modifiable spells.
780;ENIRIPSA;Revitalisation;eau;3;1;2;zone;76;95;oui;780;non;Heals allies in an area of effect and gives them a bonus to damage inflicted.
781;ENIRIPSA;Lien d'amitié;;2;1;1;;0;0;oui;781;non;Applies the Bond of Friendship state: The targeted ally gets a boost to damage inflicted and resistance if they suffer damage. The Eniripsa can only place one Regeneration per team.
782;ENIRIPSA;Jouvence;;2;;;;0;0;oui;782;non;For two turns, the Eniripsa loses some of their max HP, but they become more mobile and have enhanced healing abilities.
1415;ENIRIPSA;Soin unique;;;;;;0;0;oui;1415;oui;Each turn, the first single-target healing spell cast by the Eniripsa is more powerful. In exchange, after the improved healing spell, any additional healing spells cast by the Eniripsa during their turn have reduced effects.
1532;ENIRIPSA;Infusion;eau;4;1;3;monocible;121;152;oui;1532;non;Cast on an ally, the targeted ally is healed several turns in a row.
1533;ENIRIPSA;Vivification;eau;2;1;6;monocible;65;82;oui;649;non;Heals the targeted ally and gives a small Dodge gain. This spell has a long range.
1534;ENIRIPSA;Flamme purificatrice;feu;3;1;3;monocible;91;114;oui;1534;non;This spell inflicts damage on enemies and heals allies. It also applies a mark, no matter what team the target is on: The target gains 1 MP and triggers the mark if the target ends their turn next to an ally of the Eniripsa. When triggered, the mark heals the Eniripsa's allies near the mark bearer.
1535;ENIRIPSA;Rénisurrection;;2;1;1;;0;0;oui;624;non;The Eniripsa can revive a KO'ed ally. Be careful, a character can only be revived once per combat, and he will also die if his reanimator is KO'ed.
1536;ENIRIPSA;Paroxysme vital;;;;;;0;0;oui;646;oui;This passive increases the Eniripsa's heals received, but changes the ability activation threshold to require a certain amount of HP.
1537;ENIRIPSA;Serial marqueur;;;;;;0;0;oui;1537;oui;Each mark placed on a target heals the fighters around that target. In exchange, Fire spells become harder to cast.
1538;ENIRIPSA;Interdiction;;2;1;3;;0;0;oui;1538;non;Applies a penalty to armor or healing received by the target for one turn. This spell also steals Armor from the target and gets it back as HP.
1539;ENIRIPSA;Cure alternative;feu;2;1;3;;0;0;oui;1539;non;Heals an ally. The target will then get 20% of the heals done by the Eniripsa on fighters other than the target, until the target reaches 100% HP.
1540;ENIRIPSA;Psychose;air;3;1;1;monocible;83;104;oui;1540;non;This area-of-effect spell weakens all fighters in an area for one turn, in addition to dealing damage.
1541;ENIRIPSA;Torpeur;air;5;1;4;monocible;164;205;oui;1541;non;If the Eniripsa has very high HP, this spell deals more damage, but it also hurts the Eniripsa casting it.
1542;ENIRIPSA;Fiole infectée;air;4;2;2;monocible;102;127;oui;1542;non;This spell steals health from the target: one time when it is cast, and a second time at the end of the target's turn.
5451;ENIRIPSA;Délai;;;;;;0;0;oui;5451;oui;This passive delays half of the healing that the Eniripsa performs on their targets.
5453;ENIRIPSA;Tous pour moi;;;;;;0;0;oui;5453;oui;The Eniripsa's HP increase significantly. In exchange, the Coney spell can only be cast on adjacent targets.
5454;ENIRIPSA;Ponction;;;;;;0;0;oui;5454;oui;When the Eniripsa has 80% or more of their maximum HP, their heals performed are increased. However, they also take damage equivalent to 10% of the healing they perform.
5455;ENIRIPSA;Nature morte;;;;;;0;0;oui;1420;oui;When the Coney dies, a glyph appears on its position. In exchange, the Coney is more expensive.
5463;ENIRIPSA;Vampiripsa;;;;;;0;0;oui;5463;oui;This passive changes how Propagator works. Damage inflicted is lower, but the Eniripsa absorbs half of the damage inflicted via Propagator.
7985;ENIRIPSA;Fontaine salvatrice;;2;1;3;;0;0;oui;7985;non;Places a large healing glyph that affects both allies and enemies.
7987;ENIRIPSA;Radiance;;;;;;0;0;oui;7987;oui;When the Eniripsa ends their turn, they consume their Propagator to heal themself and their nearby allies.
7990;ENIRIPSA;Présence;;;;;;0;0;oui;7330;oui;At end of turn, if the Eniripsa is isolated, they gain mobility for the next turn, but lose their Propagator. Conversely, if there are one or more fighters near the Eniripsa, the Eniripsa gains Propagator, but loses Range on the next turn.
