Nom;NiveauDebloque;CoutPA;CoutPm;CoutPW;Element;Type;Portée;Ligne de vue;Description;Effets;Dommage lvl1;Dommage lvl1 critique;Dommage lvl245;Dommage lvl245 critique;Usages
Coup pénétrant;1;4;0;0;air;monocible;1-1;oui;Inflige des dommages en ligne de 3 cases. Une ligne de dommages supplémentaires est appliquée sur l'Armure. Les dommages de ce sort sont toujours considérés mêlée, même si la cible est à plus de 2 cases. Ce sort génère du Point Faible.;Si la cible a de l'Armure : 50% des dégats sur l'Armure. Point Faible (+20 Niv.).;4;5;144;180
Fourberie;7;3;0;0;air;monocible;1-4;non;Le Sram utilise les Ombres pour passer discrètement derrière sa cible. Ce sort génère du Point Faible.;Point Faible (+15 Niv.);3;3;108;135
Coup sournois;13;3;0;0;air;monocible;1-1;oui;Inflige des dommages Air aux ennemis et s'éloigne de la cible. À chaque lancer du sort, les dommages sont répétés sur les cibles précédentes. Ce sort génère du Point Faible. Le Sram gagne du Point faible supplémentaire pour chaque ennemi qui subit des dommages.;Point Faible (+5 Niv.) pour chaque ennemi supplémentaire touché. Point Faible (+15 Niv.).;3;3;108;135
Effroi;19;3;0;0;air;monocible;1-1;oui;Retourne la cible avant de lui infliger des dommages. Les dommages sont plus élevés si le Sram a consommé du Point Faible dans son tour. Ce sort génère du Point faible.;Si le Sram a consommé du Point Faible dans son tour : +33% de dégats. Point Faible (+15 Niv.).;3;3;91;114
traumatisme;25;4;0;0;air;monocible;1-4;non;Inflige des dommages Air toujours mêlée et consomme le Point faible pour faire des dommages supplémentaires. En fonction du nombre de Point faible consommé, le Sram regagne des PA, des PM et des PW et applique de l'Hémorragie sur la cible après avoir infligé les dommages. Hémorragie ajoute des dommages à la cible lorsque le Sram lui inflige des dommages directs.;1 % Dommages supplémentaires par Point Faible. Les dommages sont toujours mêlée. Consomme Point Faible.;4;5;144;180
Peur;3;2;0;0;neutre;monocible;2-5;non;Un sort de poussée modulable. La cible face au Sram est poussée sur la case visée. Le Sram regagne 2 PA si la cible poussée est son Double.;;0;0;0;0
Galopade;15;0;0;1;neutre;monocible;1-3;oui;Permet au Sram ou à un de ses alliés de gagner en mobilité.;+3 PM (1 tour). +980 Esquive (1 tour);0;0;0;0
Entourloupe;30;2;0;1;neutre;monocible;1-1;oui;Permet au Sram d'échanger de position avec son Double. La deuxième utilisation dans le même tour est gratuite.;;0;0;0;0
Sournoiserie;45;2;0;0;neutre;monocible;1-6;oui;Le Sram marque la cible pendant un tour. Si elle déclenche un piège du Sram, celui-ci se téléporte dans son dos.;;0;0;0;0
Assassinat;1;1;0;2;neutre;monocible;1-3;oui;Le Sram réduit les résistances de la cible pour la tuer. Si elle est encore en vie à la fin du tour, elle gagne des résistances pendant 1 tour.;-100 Résistance élémentaire sur la cible. Si la cible est encore en vie à la fin du tour : +100 Résistance élémentaire (1 tour).;0;0;0;0
Surineur;90;2;0;0;neutre;monocible;1-1;oui;Au prochain tour, le Sram gagne des dommages infligés en coup critique et de dos, et devient stabilisé pour le tour en cours.;+20 % Dommages infligés de dos. +20 % Dommages infligés en coup critique.;0;0;0;0
Invisibilité;1;1;0;1;neutre;monocible;1-3;oui;Rend le Sram ou un allié invisible. L'invisibilité est retirée lorsque le porteur lance un sort offensif.;Invisible (1 tour);0;0;0;0
Double;1;2;0;1;neutre;monocible;1-3;non;Invoque un Double du Sram qui copie ses caractéristiques. Le Double peut lancer certains sorts et sert d'appui tactique.;;0;0;0;0
Piège de Répulsion;1;1;0;1;neutre;zone;1-6;oui;Pose un piège au sol. Lorsqu'un ennemi le déclenche, il est repoussé.;;0;0;0;0
Piège d'Attraction;1;1;0;1;neutre;zone;1-6;oui;Pose un piège au sol. Lorsqu'un ennemi le déclenche, il est attiré.;;0;0;0;0
Piège de Téléportation;1;1;0;1;neutre;zone;1-6;oui;Pose un piège au sol. Lorsqu'il est déclenché, le Sram se téléporte sur la case du piège.;;0;0;0;0
Retirer un Piège;1;1;0;0;neutre;monocible;1-6;oui;Retire un piège posé par le Sram et lui rend une partie de ses ressources.;;0;0;0;0
