Nom;Niveau de deblocage;Effets;Id;gfxId;StatsPlates
Veine soigneuse;;Avec ce passif, la Veine augmente les soins réalisés par l'Ecaflip. En revanche, la Veine ne dure qu'un tour, quelle que soit la méthode de génération. Par point de Veine : - 1 % Soins réalisés La Veine augmente de 5 à chaque soin réalisé La Veine est perdue en fin de tour;7954;5463;
Triche;;Ce passif permet à l'Ecaflip de jouer la première carte de son tour gratuitement. En revanche, sans utiliser Relance, l'Ecaflip ne peut piocher qu'une seule carte. La première carte du tour peut être jouée gratuitement, puis l'Ecaflip repioche une carte L'Ecaflip ne pioche qu'une carte en début de tour;5251;852;
La Mésaventure;;Débloque une carte de tarot supplémentaire (la pioche s'agrandit donc). Cette carte réduit la mobilité et les dommages de la cible, mais augmente ses résistances pendant un tour. Ajoute une carte de tarot : - La Mésaventure;2068;2068;
Le Destin d'Ecaflip;;Débloque une carte de tarot supplémentaire (la pioche s'agrandit donc). Cette carte de tarot inflige des dommages conséquents sur la cible. En revanche, si la cible est encore en vie au tour suivant, l'Ecaflip subit autant de dommages. Ajoute une carte de tarot : - Le Destin d'Ecaflip;5250;5250;
Tarot divinatoire;;Jouer des cartes par paires de couleur permet de donner des bonus à l'Ecaflip. En contrepartie, Relance coûte plus cher. Chaque carte de tarot possède une couleur 1 fois par tour, en jouant 2 cartes à la suite : - 2 cartes blanches à la suite : 1 PW - 2 cartes noires à la suite : 25 Veine Relance passe à 3 PA;5246;4959;
Tarot veinard;;Les cartes de tarot augmentent la Veine de l'Ecaflip et lui donnent un bonus de chances aux coups critiques en fonction de leur valeur numérique. Chaque carte de tarot jouée, en fonction de la valeur numérique de la carte : - Bonus de Veine et % Coup critique (1 tour) Jouer une carte ne donne plus 7 Veine;2059;5456;
L'Infortune;;Débloque une carte de tarot supplémentaire (la pioche s'agrandit donc). Cette carte de tarot convertit les Coups critiques de la cible et les transforme en Parade, à taux d'un pour un, pendant un tour. Ajoute une carte de tarot : - L'Infortune En fin de tour, si la carte est dans la main : - 300 % du niveau (189) en Tacle (1 tour);2080;2080;
En veine;;Chaque point de Coup critique donné par l'Ecaflip (sur lui-même ou un autre) augmente de 1 sa Veine. En revanche, les dons de Coup critique ne durent plus qu'un tour. Chaque % Coup critique donné par l'Ecaflip augmente de 1 la Veine Les gains de % Coup critique ne durent plus qu'1 tour;2076;5246;
Pucif;;Ce passif réduit les soins élémentaires réalisés par l'Ecaflip. En revanche, chaque soin élémentaire se réplique à la fin du tour de la cible avant d'être transmis à l'allié le plus proche. Lorsque l'Ecaflip réalise un soin : - Le soin est divisé par deux - Le soin applique autant de Puces Retire les Puces en début de tour de l'Ecaflip;2062;7931;
L'Univers;;Divise les gains de Veine par deux. Débloque la carte L'Univers quand l'Ecaflip atteint exactement 42 de Veine (la carte n'est pas dans la pioche). Lorsque la Veine atteint exactement 42 : - Débloque L'Univers En fin de tour, si L'Univers est dans la main : - Convertit la Veine en % PV max en Armure - L'Univers est retiré Les gains de Veine sont réduits de moitié;8000;8000;
