Id;Nom;Niveau;PV;Famille;Rang;ResFeu;ResEau;ResTerre;ResAir;gfx
3175;Sir Urh le Renfermé;163;23034;Enutrosor;2;320;470;390;390;163403101
2583;Wipley la Suwvivante;163;23035;Gawdes Wabbits;2;390;390;390;390;155602583
2743;Zombowabbit le putréfié;163;31831;Zwombbits;2;476;476;476;476;155202572
4269;Gris XIII;148;18000;Phorreurs;2;342;342;459;224;187404269
4372;Cêpomwé l'Innocent;148;19721;Noirespores;2;482;482;644;360;161104372
5532;Jafaw le génie;148;24000;Wabbits;2;432;432;432;432;154802563
2630;Lenaldix;148;18000;Lenalds;2;385;385;385;385;154502554
5473;Ougiptien le maudit;148;25240;Légumutants;2;656;489;656;489;1111705473
4998;Abrasif le décapant;138;24000;Abraknydes Sombres;2;400;150;400;250;104800398
4388;Alf Iguem;93;4600;Moines;2;400;400;200;200;138604388
4765;Sangria le Fruité;88;6201;Gliglis;2;97;232;156;156;100701645
5109;Abrakne Kadabrakne la Magicienne;88;8184;Araknes;2;502;200;351;351;1103805109
5127;Muligane le Défaussé;88;10412;Mulous;2;132;50;214;132;105502130
1639;Boorboopoopoo;88;7850;Booskitos;2;400;200;120;200;120001277
4370;Orrokimarou le Rampant;88;5741;Kroapules;2;240;240;240;240;173804370
4481;Ratafia le Titubant;88;6864;Rats;2;170;250;85;170;107704481
1631;Truduk le Rondouillard;88;6700;Truches;2;90;200;90;200;128801631
3701;Smisse Tigri;88;2617;Corbacs;2;216;20;98;216;120201407
4371;Bouflaquette le Chevelu;73;3773;Bouftous sauvages;2;251;88;170;170;158104371
4737;Kokoblong le Vertical;73;3200;Kokokos;2;155;105;155;255;135502116
4255;Kraken;73;4568;Molluskys;2;266;256;68;186;188104255
4752;Cwalbinos le Blafard;73;4000;Cwabes;2;110;160;160;200;177804154
4267;Requinoa;73;3982;Skouale;2;191;81;191;81;135902117
4368;Craqnoix le Gêneur;58;2443;Craqueleurs;2;114;114;190;90;129004368
5005;Rosée la matinale;58;2000;Plantes des Champs;2;260;30;150;130;101600401
1632;Moumoute la Postiche;58;2500;Moogrr;2;218;53;218;53;121801632
4022;Pâti Noir;50;2053;La Mâdrâgue;2;26;43;4;26;181704022
4098;Abribus le Protecteur;43;949;Abraknes;2;200;450;310;200;182804098
4100;Pewpew l'Artilleur;43;1115;Pious;2;200;260;310;500;101504100
4101;Griffu l'Acéré;28;630;Tofus;2;200;300;100;400;100104101
4097;Lartifice l'Explosive;28;444;Larves;2;200;100;50;300;101404097
4086;Bouchtrou l'Esseulé;28;720;Bouftous;2;300;200;400;100;100204086
5526;Bouftou céleste;8;100;Extra Incarnam;2;43;43;43;43;100201136
5527;Dark Wapin;8;100;Extra Incarnam;2;30;0;30;0;117402507
5626;Fulgurosaure;253;473275;Férociraptors;1;750;750;750;750;1114205626
5632;Imagori;253;349291;Primassifs;1;755;755;755;755;1114205632
5718;Nox;253;114252;Sbires de Nox;1;655;655;655;655;1115005718
5650;Protozortemps;253;637500;Machines de Nox;1;900;900;900;900;1114205650
5638;Timö le possédé;253;1000000;Savanastraux;1;-222;-222;-222;-222;1114205638
5644;Zulnara, cheffe de guerre;253;99424;Clan de Bworkana;1;737;637;637;737;1114205644
5295;!@#dh`~;238;275832;Égarés;1;625;625;625;625;1107905295
5283;Ar'Nan, Augure du néant;238;308365;Vidéants;1;625;625;625;625;1107505283
5289;Cratéros, Bourreau de la fin;238;420218;Démhorribles;1;625;625;625;625;1107705289
5301;K'abah'al, Gardien de la route des morts;238;293333;Ravageurs;1;655;605;655;605;1108105301
5394;Raeliss;238;308455;Poisseux abyssaux;1;630;630;530;580;1110405394
5400;Sir Comte Flex;238;278848;Steamers;1;660;660;660;660;1110605400
5589;Toross Mordal;238;250000;Nécromonde;1;722;722;722;722;1113105589
5277;Vaal'Enthia, Reine-démone;238;289245;Phytomorphes;1;645;645;645;645;1107305277
5418;Cire Momore;233;336424;Cire Momore;1;600;600;600;600;183905357
5305;Anathar;230;216273;Anathar;1;600;600;600;600;1108305305
5229;Agonie, Nécromancienne livide;223;95000;Tour Minérale : 201-215;1;400;400;400;400;193805229
5241;Casse-Cours;223;298016;Plantigardes;1;580;620;620;580;1106705241
5182;Crustacérébro;223;153952;Crustargneux;1;663;641;663;685;1106105182
5188;Bufflamboyant;223;171060;Toundrasoirs;1;726;684;641;684;1106205188
5170;Phacochemar;223;256562;Vandaliénés;1;486;529;571;529;1105905170
5176;Scorpiétineur;223;170530;Cagnardeurs;1;625;625;668;668;1106005176
5247;Sumorse;223;170530;Mansots;1;625;625;668;668;1106805247
5235;Tortumulte;223;409324;Carapattes;1;625;625;625;625;1106605235
4400;Oeuf Antique;208;850000;Dragoeufs;1;570;570;605;551;186704400
4260;Cendragon;208;75756;Ethernels;1;733;665;705;682;189004260
4318;Blérwitch le Furax;208;127500;Blérox;1;600;600;600;600;186604318
5052;Fléogre;208;425000;Fléopard;1;541;541;581;501;1103105052
5137;Granduk Hibourg;208;212500;Hibourgs;1;541;541;581;501;1104005137
4664;Agonie Coeur-Cristal;208;75000;Tour Minérale : 186-200;1;500;500;500;500;193804664
5059;Fantôme Tanukouï-San;208;170000;Fantômes de Pandala;1;500;500;500;500;1103205059
4327;Sor'Hon, Seigneur de la Flamme;208;102000;Monstres du Dor'Mor;1;450;450;450;450;190004327
5165;Aguabrial;200;170000;Extra Mont Zinit;1;500;800;500;500;137201723
5155;Comte Harebourg;200;400000;Extra Royaume Sadida;1;675;675;675;675;104702383
3879;Darkli Moon;193;36000;Extra Île de Moon;1;550;505;475;505;179403879
3866;Grozépine;193;37800;Kannivores;1;554;516;474;454;179403866
3864;Kannistère;193;33750;Kannibouls;1;550;490;500;510;179403864
3865;Koko le Nutt;193;69300;Tropikokos;1;546;588;503;546;179403865
5131;Maman Gerbouille;193;63000;Gerbouilles;1;565;535;580;565;1103905131
3971;Roi Dunîl;193;48600;Crocodailles;1;480;520;590;560;181103971
5046;Pandore;193;36000;Pandissidans;1;549;571;593;571;1103005046
4924;Javého;178;55000;Encapuchonnés;1;369;369;369;369;129402228
4217;Kali;178;37500;Sbires de Kali;1;500;500;500;500;187204217
4923;Mamapoutre;178;30200;Patapoutres;1;100;100;100;100;13482452
2018;Remington Smisse;178;100000;Roublards;1;369;369;369;369;197902018
3399;Raipiode l'Infréquençable;178;30000;Hulors;1;399;525;462;462;169203399
4538;Le Riktus Masqué;178;63696;Riktus Elite;1;420;420;501;338;120501771
3398;Vertox l'Intemporel;178;32000;Extra Xélots;1;375;375;375;375;169303398
4780;Blopgang Amadeus Blopzart;163;23034;Blops Musicaux;1;300;300;300;300;195604780
5040;Bulbrute;163;24000;Plantalas;1;408;364;386;386;1102905040
3094;Jamall'Auneth le Porte-clés;163;120000;Enutrosor;1;324;324;324;324;163603094
5478;Bombyxolite endoptérygote;163;15000;Sabléoptères;1;325;370;380;345;1111905478
2605;Gwand Wabbit GM;163;26523;Zwombbits;1;476;476;476;476;155202605
3080;Venâme le Mangelombre;163;22000;Srambad;1;362;362;362;362;162903080
2582;Wa Wabbit;163;21000;Gawdes Wabbits;1;433;433;433;433;155602582
5471;Potofeu, Grand maître culinaire;148;24103;Légumutants;1;341;505;505;423;1111705471
3048;Mihmol l'Empaleur;148;13000;Shushus Fanatiques;1;400;400;400;400;127803048
2570;Gwand Viziw Wabbit;148;19800;Wabbits;1;432;432;432;432;155202570
2556;Lin Shi, Empeleul Lenald;148;32000;Lenalds;1;432;432;432;432;154502555
4254;Fripon;148;20000;Phorreurs;1;342;342;459;224;187404254
4874;Chêne Mou;148;5000;Abraknydes Sombres;1;687;605;605;524;104804874
2977;Telob le Champmane;145;18000;Noirespores;1;266;266;266;266;161102977
4061;Dranipoch;142;12303;;1;406;196;303;196;182204061
4060;Grande Prêtresse Sydonia;141;12191;;1;431;195;313;195;182204060
3926;Vilenya;140;15000;Extras Huppermages;1;350;290;415;350;180103926
2972;Piktus;135;14000;Cacterres;1;236;236;236;236;160802972
4727;Zespadon Noir;133;17193;Pichons;1;302;388;302;388;131501696
2343;Hagën-Glass;133;16000;Craqueleurs Polaires;1;343;343;343;343;149702343
2348;Kya, Missiz Frizz;133;15500;Chafers du Nord;1;307;307;307;307;150002348
4720;Flaque Royale;133;11348;Flaqueux;1;504;461;504;547;122602272
4231;Smarillion;133;12434;Smares;1;281;281;238;324;187704231
2827;Spectrex le Tourmenteur;133;12000;Shushus Tourmentés;1;280;280;280;280;127802827
2354;Sylargh;130;14950;Mékas;1;522;522;522;522;150402354
1345;Empereur Gelax;123;12000;Gelées;1;375;375;375;375;1300035
2100;Maître Chuchoku;120;14300;Chuchoteurs;1;293;293;293;293;145102100
2469;Bilby Queen;118;7000;Bilbyboys;1;263;263;263;263;153302469
2363;Lady Glagla;118;10250;Glaglas;1;221;221;221;221;150702363
2710;Mégathon;118;4215;Super-vilains;1;157;277;187;187;153902710
2709;Kralaman;118;5875;Super-vilains;1;188;188;188;188;153902709
2714;Lardevil;118;5645;Super-vilains;1;250;190;300;190;153902714
4520;Chapo Magik;118;18756;Magik Riktus;1;143;25;-92;143;120504520
2708;Merkator;118;5213;Super-vilains;1;316;316;316;316;153902708
2368;Yech'Ti'Wawa;118;10000;Mulmouth;1;263;263;263;263;151002368
4739;Chaferfu, roi Chafer;103;7750;Chafers;1;280;280;280;280;104701707
2443;El Pochito;103;5753;Académie Trool;1;304;69;187;187;152602443
1786;Nonne;103;4750;Moines;1;347;347;347;347;138601786
2464;Bilbymoule Nacrée;103;8000;Bilbyplage;1;216;334;98;216;152802464
4251;Reine Slek;103;9000;Sleks;1;334;188;334;188;140001837
4913;Scarador;103;7250;Scaras;1;5000;5000;5000;5000;128301738
3735;Viktoria-France Kenstein;103;5000;Croques-Miteux;1;350;350;350;350;177103735
1836;Vampyro;95;6666;Extra Goule;1;355;215;235;385;140501836
5107;Veuve Noire;88;7041;Araknes;1;295;295;377;214;1103805107
5114;Lune Géante;88;7041;Mulous;1;377;214;377;214;105501792
4871;Hongrue, Haute Truche;88;5868;Truches;1;284;49;49;284;128802273
4763;Gligli Royal;88;5281;Gliglis;1;248;85;166;166;100701727
4918;Tsar Tsu Tsu;88;7041;Booskitos;1;330;248;166;248;100601278
3587;Grand Orrok;85;6750;Kroapules;1;150;150;150;150;173803587
2313;Ratachouille;84;8241;Rats;1;195;410;110;195;107702313
3696;Korbot K-800;80;5662;Corbacs;1;205;205;123;286;173603696
3707;Kroac-Gyver;80;40000;L'Atelier Abandonné;1;250;250;250;250;177003707
5417;Cire Momore;73;4223;Cire Momore;1;550;550;550;550;183905357
5388;Goël le golem;73;4223;Marteaux-Aigris;1;303;189;303;189;1110205388
4240;Kralaboss;73;4013;Molluskys;1;256;246;58;176;122102178
4731;Grokokolantha;73;2725;Kokokos;1;198;383;240;240;135501703
4754;Cwabe Royal;73;3400;Cwabes;1;200;160;200;110;132602285
4244;Royal Skouale;73;3612;Skouale;1;181;71;181;71;135902197
5451;Crapaud Eenca;71;644;Miss Moches;1;155;155;120;120;1111105451
5449;Crapaud Lela;71;773;Miss Moches;1;164;164;200;200;1111105449
5453;Crapaud Ydalipe;71;644;Miss Moches;1;150;120;150;120;1111105453
5452;Crapaud Erpel;71;580;Miss Moches;1;105;140;105;140;1111105452
5446;Eenca;71;1288;Miss Moches;1;186;186;144;144;1111105446
5445;Lela;71;1545;Miss Moches;1;197;197;240;240;1111105445
5448;Ydalipe;71;1288;Miss Moches;1;180;144;180;144;1111105448
5447;Erpel;71;1159;Miss Moches;1;126;168;126;168;1111105447
2774;Throll;70;3924;Bworks;1;49;89;89;220;158402774
2768;Grand Bouftou Sauvage;65;3610;Bouftous sauvages;1;200;77;123;123;158102768
1726;Plante Carnivore;58;1700;Plantes des Champs;1;10;130;250;130;101601726
5416;Cire Momore;58;2623;Cire Momore;1;500;500;500;500;183905357
5382;Hark Saniss, Dernier géant;58;2500;Morts-brûlés;1;170;220;220;120;1110005382
5376;Pohl le poulpe;58;1985;Équipage du poulpe;1;160;160;100;100;1109805376
4519;Craqueleur Royal;58;1876;Craqueleurs;1;120;100;140;80;129002198
4758;Moogrr Royale;58;2290;Moogrr;1;168;83;126;126;121802271
4651;Agonie la Déterrée;58;2998;Tour Minérale : 36-50;1;60;60;60;60;193804651
4054;Kroutânkharton;45;2200;Mékan-0;1;145;80;263;145;177704054
3216;Morfor;43;1226;Squelettes;1;320;140;320;320;158102793
1187;Piou Royal;43;1115;Pious;1;200;260;310;500;101501187
4107;Abraknelle;43;1568;Abraknes;1;-80;0;100;0;182804107
4021;Château de Sâble;39;366;La Mâdrâgue;1;22;-1;40;22;115600987
3893;Khan Karkass;35;1120;;1;73;73;73;73;112903893
44;Bouftou Royal;28;720;Bouftous;1;300;200;400;100;100200044
1259;Tofu Royal;28;630;Tofus;1;200;300;100;400;100100050
2157;Shin Larve;28;444;Larves;1;200;100;50;300;101402157
3780;Contremaître Baxtock Sterman;20;220;Culte d'Ogrest;1;105;40;60;40;178603778
4012;Olavrann l'Externel;5;40;Extra Embryâmes;1;0;0;0;0;181404012
4195;Mimic Domestique;245;1;Mimics;;0;0;0;0;101100834
4194;Mimic Fragmenté;245;1;Mimics;;0;0;0;0;101100834
4189;Mimic Runique;245;1;Mimics;;0;0;0;0;101100834
4196;Mimic Sucré;245;1;Mimics;;0;0;0;0;101100834
5641;Mama Bwork;243;22855;Clan de Bworkana;;702;702;802;802;1114205641
5635;Mâle luné;243;22855;Savanastraux;;620;520;720;720;1114205635
5625;Avalodon;243;22594;Férociraptors;;850;978;978;978;1114205625
5647;Noxus IV;242;22855;Machines de Nox;;605;648;605;563;1114205647
5631;Rhinocéroc;242;33303;Primassifs;;739;697;654;654;1114205631
5636;Astrompe;239;26282;Savanastraux;;755;555;655;555;1114205636
5642;Big Mama Bwork;239;26282;Clan de Bworkana;;802;702;802;602;1114205642
5716;Frisco;239;22917;Sbires de Nox;;650;600;600;730;1115005716
5715;Marama;239;26067;Sbires de Nox;;750;750;850;680;1115005715
5624;Nabuchodonosaur;239;20810;Férociraptors;;873;812;812;770;1114205624
5649;Noxelanste;239;22143;Machines de Nox;;639;597;554;554;1114205649
5717;Tartufo;239;30813;Sbires de Nox;;780;660;660;720;1115005717
5629;Teralonyx;239;27444;Primassifs;;705;748;705;663;1114205629
5637;Chimère veilleuse;237;26643;Savanastraux;;520;620;620;720;1114205637
5648;Noxilte;237;26282;Machines de Nox;;492;535;450;492;1114205648
5643;Vieillarde Bwork;237;26643;Clan de Bworkana;;697;697;697;697;1114205643
5630;Terronite;237;32853;Primassifs;;592;635;550;592;1114205630
5623;Vélociraptueur;237;21807;Férociraptors;;850;825;770;825;1114205623
5392;Cogneur abyssal;228;18809;Poisseux abyssaux;;650;650;730;680;1110405392
5286;Sangsure;228;20641;Démhorribles;;705;748;705;663;1107705286
5280;Echinoidéant;228;22855;Vidéants;;705;748;705;663;1107505280
5398;Artilleur d'élite;228;22172;Steamers;;610;610;610;610;1110605398
5298;Glouto;228;20931;Ravageurs;;705;748;705;663;1108105298
5274;Méristhaine;228;22855;Phytomorphes;;732;647;689;689;1107305274
5292;Réman'hante;228;19749;Égarés;;675;728;675;622;1107905292
5393;Assassirène;224;22109;Poisseux abyssaux;;555;720;555;490;1110405393
5293;Ésrevni;224;22502;Égarés;;539;497;454;497;1107905293
5275;Champidiable;224;18420;Phytomorphes;;597;640;554;597;1107305275
5287;Rapace dépeceur;224;20909;Démhorribles;;639;597;554;597;1107705287
5299;Druidre;224;18390;Ravageurs;;639;597;554;597;1108105299
5281;Inanite;224;26282;Vidéants;;492;535;450;492;1107505281
5399;Unité stasificatrice;224;16707;Steamers;;750;750;750;750;1110605399
5294;CeEvroaint;222;26643;Égarés;;492;535;450;492;1107905294
5282;Chrysavide;222;26643;Vidéants;;639;597;554;554;1107505282
5288;Condamnateur;222;24429;Démhorribles;;492;535;450;492;1107705288
5391;Petit-poisseux;222;18291;Poisseux abyssaux;;570;570;570;570;1110405391
5300;Maître des ténèbres;222;19443;Ravageurs;;492;535;450;492;1108105300
5397;Mékano;222;19491;Steamers;;650;650;650;650;1110605397
5276;Virescent;222;19392;Phytomorphes;;545;502;545;587;1107305276
5167;Boiseux;213;19288;Vandaliénés;;469;511;426;469;1105905167
5173;Castorbital;213;16943;Cagnardeurs;;683;768;725;725;1106005173
5232;Dragonorrhée;213;16943;Carapattes;;705;748;705;663;1106605232
5238;Oursonge;213;16943;Plantigardes;;725;725;768;683;1106705238
5244;Manchômage;213;18921;Mansots;;623;728;685;685;1106805244
5180;Pincision;213;12425;Crustargneux;;932;850;850;768;1106105180
5185;Tigris;213;33548;Toundrasoirs;;431;431;521;521;1106205185
5228;Agathank;210;15615;Tour Minérale : 201-215;;456;541;499;499;193805228
5227;Emeraldin;210;15615;Tour Minérale : 201-215;;417;417;460;374;193805227
5226;Jadarme;210;14453;Tour Minérale : 201-215;;437;351;394;394;193805226
5169;Assassinge;209;16202;Vandaliénés;;455;412;455;498;1105905169
5233;Caméléhombre;209;16202;Carapattes;;639;597;554;597;1106605233
5245;Manchopine;209;23603;Mansots;;619;534;577;577;1106805245
5181;Pinsulaire;209;16502;Crustargneux;;460;502;545;502;1106105181
5174;Tatourbillon;209;21603;Cagnardeurs;;639;597;554;597;1106005174
5239;Boursouflé;209;21603;Plantigardes;;554;639;554;639;1106705239
5186;Loupin;209;18003;Toundrasoirs;;600;558;515;558;1106205186
5175;Carabajoie;207;15922;Cagnardeurs;;462;505;462;420;1106005175
5246;Manchot Kola;207;15922;Mansots;;412;465;412;465;1106805246
5179;Cwabotteur;207;32405;Crustargneux;;415;458;372;415;1106105179
5240;Koung Fours;207;19106;Plantigardes;;545;462;590;545;1106705240
5187;Renard Valo;207;15922;Toundrasoirs;;462;505;548;505;1106205187
5234;Torturbulent;207;21603;Carapattes;;492;535;450;492;1106605234
5168;Uto-pic;207;19299;Vandaliénés;;645;602;602;559;1105905168
4796;Destructeur;200;12361;Ombrage;;474;346;430;430;143604796
4795;Cracheur Volant;200;11238;Ombrage;;413;413;456;370;143604795
4791;Ombre d'Ombrage;200;100000;Ombrage;;666;666;666;666;143604791
5099;Soiffard;200;15000;Extra Pandalousie;;440;440;440;440;1103305099
5047;Fléroce;198;16335;Fléopard;;610;529;447;529;1103105047
5135;Mage Hibourg;198;16335;Hibourgs;;529;447;529;610;1104005135
5053;Fantôme Pandit;198;14702;Fantômes de Pandala;;563;481;400;481;1103205053
4257;Schistérique;198;16224;Ethernels;;596;596;668;494;189004257
4209;Dragoeuf à la coque;198;10692;Dragoeufs;;812;722;812;722;186704209
4663;Agathank;195;11615;Tour Minérale : 186-200;;456;541;499;499;193804663
4204;Blérage;195;11290;Blérox;;420;338;502;420;186604204
4203;Fouirox;195;12544;Blérox;;338;420;420;502;186604203
4205;Blérours;195;13938;Blérox;;467;549;386;467;186604205
4324;Bolrag du Dor'Mor;195;15331;Monstres du Dor'Mor;;467;386;549;467;190004324
4662;Emeraldin;195;11615;Tour Minérale : 186-200;;417;417;460;374;193804662
4325;Gulnaz du Dor'Mor;195;13938;Monstres du Dor'Mor;;592;510;510;428;190004325
4661;Jadarme;195;10453;Tour Minérale : 186-200;;437;351;394;394;193804661
4326;War'Hg Magmatique;195;12544;Monstres du Dor'Mor;;444;444;363;526;190004326
4188;Dragonnet Prismatique;195;2000;Nogord l'Ezarélé;;500;500;500;500;143604167
5048;Flémard;194;13925;Fléopard;;547;384;547;384;1103105048
4210;Dragoeuf Guerrier;194;17403;Dragoeufs;;330;401;248;330;186704210
5134;Minibourg;194;55700;Hibourgs;;331;413;494;413;1104005134
5136;Gentibourg;194;14181;Hibourgs;;552;471;389;471;1104005136
5054;Fantôme Pandule;194;15756;Fantômes de Pandala;;330;401;248;330;1103205054
4259;Sulfurie;194;11200;Ethernels;;503;426;348;426;189004259
4258;Ammaniaque;192;12600;Ethernels;;372;422;422;533;189004258
5049;Flétide;192;18567;Fléopard;;513;676;513;676;1103105049
4208;Dragoeu'r;192;14066;Dragoeufs;;443;361;523;443;186704208
5055;Fantôme Tanuki-Chan;192;15472;Fantômes de Pandala;;433;523;433;523;1103205055
5056;Fantôme Yokaï;192;18567;Fantômes de Pandala;;594;513;676;594;1103205056
4167;Dragonnet Féroce;190;9555;Nogord l'Ezarélé;;450;450;450;450;143604167
4168;Dragonnet Vivace;190;8784;Nogord l'Ezarélé;;400;400;400;400;143604168
4317;Roc Froid;188;1;Ethernels;;0;0;0;0;189004317
4316;Roc Chaud;188;1;Ethernels;;0;0;0;0;189004316
5130;Pépé Gerbouille;183;8628;Gerbouilles;;450;408;493;450;1103905130
3855;Kanniboul Lymi;183;8472;Kannibouls;;398;571;398;571;179403855
3859;Kokolérik;183;7060;Tropikokos;;398;316;480;398;179403859
3969;Eventreur Dunîl;183;7060;Crocodailles;;304;385;304;222;181103969
5042;Pandit;183;10354;Pandissidans;;552;426;426;556;1103005042
3861;Phéromane;183;7844;Kannivores;;351;433;269;351;179403861
5129;Gerbouille;179;7766;Gerbouilles;;304;346;304;261;1103905129
3856;Kanniboul Ette;179;6798;Kannibouls;;423;341;341;260;179403856
3860;Kokolosse;179;8158;Tropikokos;;552;389;470;470;179403860
3970;Shaman Dunîl;179;7554;Crocodailles;;433;351;269;351;181103970
5041;Pandikaze;179;11965;Pandissidans;;599;517;517;436;1103005041
3863;Tropiliane;179;6118;Kannivores;;213;294;294;423;179403863
2016;Brise-Tibias;178;9783;Roublards;;530;530;530;530;122401234
5128;Bébé Gerbouille;177;9971;Gerbouilles;;565;523;480;523;1103905128
3862;Dionatrape;177;8893;Kannivores;;547;384;547;384;179403862
3968;Chasseur Dunîl;177;6670;Crocodailles;;232;314;395;314;181103968
5043;Pandou;177;9783;Pandissidans;;473;410;473;536;1103005043
3858;Psykoko;177;6003;Tropikokos;;264;337;337;418;179403858
3857;Kanniboul Voodoo;177;6670;Kannibouls;;314;232;395;314;179403857
3396;Laps;168;6113;Xélots;;293;175;293;410;169303396
2014;Roublard Tiste;168;6792;Roublards;;405;363;320;363;120201407
4922;Patapattes;168;7910;Patapoutres;;350;350;490;490;13482453
3394;Syclick;168;6724;Hulors;;500;382;382;265;169203394
4216;Ensaigneur;166;5545;Sbires de Kali;;290;408;408;525;187204216
4214;Soeur Zerker;166;8186;Sbires de Kali;;296;61;179;179;187204214
4215;Tankoeur;166;6054;Sbires de Kali;;490;490;607;372;187204215
4534;Elitir;165;6271;Riktus Elite;;284;166;48;166;120501768
4536;Elitendard;165;13316;Riktus Elite;;-1;-119;-1;117;120501767
4535;Epélite;165;3800;Riktus Elite;;163;398;281;281;120501766
4767;Assassin Encapuchonné;165;5701;Encapuchonnés;;252;342;252;342;40
4768;Mage Encapuchonné;165;3420;Encapuchonnés;;587;505;505;423;129401464
4769;Protecteur Encapuchonné;165;12542;Encapuchonnés;;328;246;165;246;10
4537;Magilite;165;5701;Riktus Elite;;52;169;52;-66;120501769
4344;Fouirox Blessé;165;3850;Sbires de Kali;;233;332;467;332;186604203
